,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION,IV
0,2024-04-08,2DJX,C,2024-06-21,391.16,8.6594,2587,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
1,2024-04-08,2DJX,P,2024-06-21,391.16,6.598,2587,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
2,2024-04-08,2DJX,C,2024-06-21,392.73,7.9718,12888,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
3,2024-04-08,2DJX,P,2024-06-21,392.73,7.4634,12888,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
4,2024-04-08,2DJX,C,2024-06-21,392.82,7.9339,8375,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
5,2024-04-08,2DJX,P,2024-06-21,392.82,7.5145,8375,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
6,2024-04-08,2DJX,C,2024-06-21,393.0,7.8585,79,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
7,2024-04-08,2DJX,P,2024-06-21,393.0,7.6172,79,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
8,2024-04-08,2DJX,C,2024-06-21,393.3,7.7343,3860,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
9,2024-04-08,2DJX,P,2024-06-21,393.3,7.7898,3860,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
10,2024-04-08,2DJX,C,2024-06-21,393.31,7.7302,643,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
11,2024-04-08,2DJX,P,2024-06-21,393.31,7.7956,643,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
12,2024-04-08,2DJX,C,2024-06-21,395.13,7.0046,512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
13,2024-04-08,2DJX,P,2024-06-21,395.13,8.8703,512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,50.0
14,2024-04-08,2DJX,P,2024-08-16,360.0,3.057,400,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,130,50.0
15,2024-04-08,2DJX,C,2024-09-20,363.89,35.5991,4245,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,165,50.0
16,2024-04-08,2DJX,P,2024-09-20,363.89,4.3198,4245,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,165,50.0
17,2024-04-08,2DJX,C,2024-10-18,400.01,12.7671,1000,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,193,50.0
18,2024-04-08,2DJX,C,2024-11-15,400.01,14.6793,2000,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,221,50.0
19,2024-04-08,2DJX,C,2024-12-20,240.47,156.1112,1173,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,50.0
20,2024-04-08,2DJX,P,2024-12-20,240.47,1.0542,1173,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,50.0
