                                                                                  
   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST                                                                                  
                                                                                                        
      2DJX     C   06 21 2024  00391 160     13.0784      2587                                                                                  
      2DJX     P   06 21 2024  00391 160      5.2457      2587                                                                                  
      2DJX     C   06 21 2024  00392 730     11.9397     12888                                                                                  
      2DJX     P   06 21 2024  00392 730      5.6585     12888                                                                                  
      2DJX     C   06 21 2024  00392 820     11.8754      8375                                                                                  
      2DJX     P   06 21 2024  00392 820      5.6831      8375                                                                                  
      2DJX     C   06 21 2024  00393 300     11.5342      3860                                                                                  
      2DJX     P   06 21 2024  00393 300      5.8163      3860                                                                                  
      2DJX     C   06 21 2024  00393 310     11.5271       643                                                                                  
      2DJX     P   06 21 2024  00393 310      5.8191       643                                                                                  
      2DJX     C   06 21 2024  00395 130     10.2702       512                                                                                  
      2DJX     P   06 21 2024  00395 130      6.3607       512                                                                                  
      2DJX     P   08 16 2024  00360 000      2.3615       400                                                                                  
      2DJX     C   09 20 2024  00363 890     41.4315      4245                                                                                  
      2DJX     P   09 20 2024  00363 890      3.4396      4245                                                                                  
      2DJX     C   10 18 2024  00400 010     16.3452      1000                                                                                  
      2DJX     C   11 15 2024  00400 010     18.2965      2000                                                                                  
      2DJX     C   12 20 2024  00240 470    160.7367      1173                                                                                  
      2DJX     P   12 20 2024  00240 470      0.6181      1173                                                                                  
      2DJX     C   12 20 2024  00251 150    150.6205       940                 
