SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ-CLOSE,VOLUME
4DJX,C,2022-11-01,2022-11-02,1,360.53,0.0001,70,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-02,1,366.84,0.0001,14,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-02,1,368.64,0.0001,23,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-02,1,374.95,0.0001,33,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
5DJX,C,2022-11-01,2022-11-02,1,368.64,0.0001,24,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-08,7,364.32,0.0229,84,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-08,7,372.52,0.0059,31,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-08,7,378.89,0.002,53,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
5DJX,C,2022-11-01,2022-11-08,7,364.32,0.0001,40,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-09,8,363.2,0.031,83,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-09,8,369.56,0.0115,20,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-09,8,371.37,0.0084,16,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-09,8,377.73,0.0028,47,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-10,9,359.21,0.0597,75,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-10,9,367.29,0.0196,34,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-10,9,373.58,0.0067,41,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-15,14,360.87,0.0838,82,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-15,14,368.99,0.0284,36,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
4DJX,C,2022-11-01,2022-11-15,14,375.3,0.0095,46,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
5DJX,C,2022-11-01,2022-11-15,14,360.87,0.0001,49,32862.789063,32975.480469,32485.230469,32653.199219,32653.199219,323210000
