   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST
      2DJX     C   09 15 2023  00340 100      6.6632       200                                                                                  
      2DJX     P   09 15 2023  00340 100      0.1649       200                                                                                  
      2DJX     C   09 15 2023  00340 380      6.3980      1625                                                                                  
      2DJX     P   09 15 2023  00340 380      0.1796      1625                                                                                  
      2DJX     C   09 15 2023  00341 000      5.8155       398                                                                                  
      2DJX     P   09 15 2023  00341 000      0.2168       398                                                                                  
      2DJX     C   09 15 2023  00341 230      5.6014      1475                                                                                  
      2DJX     P   09 15 2023  00341 230      0.2326      1475                                                                                  
      2DJX     C   09 15 2023  00341 640      5.2225      1327                                                                                  
      2DJX     P   09 15 2023  00341 640      0.2635      1327                                                                                  
      2DJX     C   09 15 2023  00342 530      4.4153       730                                                                                  
      2DJX     P   09 15 2023  00342 530      0.3459       730                                                                                  
      2DJX     C   09 15 2023  00343 000      3.9991         5                                                                                  
      2DJX     P   09 15 2023  00343 000      0.3995         5                                                                                  
      2DJX     C   09 15 2023  00344 120      3.0439        56                                                                                  
      2DJX     P   09 15 2023  00344 120      0.5638        56                                                                                  
      2DJX     C   09 15 2023  00344 470      2.7584      4357                                                                                  
      2DJX     P   09 15 2023  00344 470      0.6281      4357                                                                                  
      2DJX     C   09 15 2023  00344 560      2.6861      5810                                                                                  
      2DJX     P   09 15 2023  00344 560      0.6458      5810                                                                                  
      2DJX     C   09 15 2023  00344 570      2.6781      4431                                                                                  
      2DJX     P   09 15 2023  00344 570      0.6478      4431                                                                                  
      2DJX     C   09 15 2023  00345 570      1.9655       583                                                                                  
      2DJX     P   09 15 2023  00345 570      0.9348       583                                                                                  
      2DJX     C   09 15 2023  00346 000      1.7056       400                                                                                  
      2DJX     P   09 15 2023  00346 000      1.1047       400                                                                                  
      2DJX     C   09 15 2023  00346 110      1.6424      2892                                                                                  
      2DJX     P   09 15 2023  00346 110      1.1515      2892                                                                                  
      2DJX     C   09 15 2023  00346 200      1.5917     22185                                                                                  
      2DJX     P   09 15 2023  00346 200      1.1907     22185                                                                                  
      2DJX     C   09 15 2023  00346 210      1.5862       290                                                                                  
      2DJX     P   09 15 2023  00346 210      1.1952       290                                                                                  
      2DJX     C   09 15 2023  00347 240      1.0734      2316                                                                                  
      2DJX     P   09 15 2023  00347 240      1.7119      2316                                                                                  
      2DJX     C   09 15 2023  00347 530      0.9511      4421                                                                                  
      2DJX     P   09 15 2023  00347 530      1.8795      4421                                                                                  
      2DJX     C   09 15 2023  00347 610      0.9190       725                                                                                  
      2DJX     P   09 15 2023  00347 610      1.9274       725                                                                                  
      2DJX     C   09 15 2023  00348 370      0.6502       576                                                                                  
      2DJX     P   09 15 2023  00348 370      2.4183       576                                                                                  
      2DJX     C   09 15 2023  00349 170      0.4330      2624                                                                                  
      2DJX     P   09 15 2023  00349 170      3.0007      2624                                                                                  
      2DJX     C   09 15 2023  00350 010      0.2685       250                                                                                  
      2DJX     C   09 15 2023  00352 030      0.0746      1566                                                                                  
      2DJX     P   09 15 2023  00352 030      5.5010      1566                                                                                  
      2DJX     C   09 15 2023  00352 320      0.0607       569                                                                                  
      2DJX     P   09 15 2023  00352 320      5.7770       569                                                                                  
      2DJX     C   09 15 2023  00352 740      0.0446       855                                                                                  
      2DJX     P   09 15 2023  00352 740      6.1807       855                                                                                  
      2DJX     C   09 15 2023  00354 910      0.0075      1836                                                                                  
      2DJX     P   09 15 2023  00354 910      8.3126      1836                                                                                  
      2DJX     C   12 15 2023  00226 450    121.8866       424                                                                                  
      2DJX     P   12 15 2023  00226 450      0.0567       424                                                                                  
      2DJX     C   12 15 2023  00242 970    105.7227      3131                                                                                  
      2DJX     P   12 15 2023  00242 970      0.1832      3131                                                                                  
      2DJX     C   12 15 2023  00247 220    101.5677      1558                                                                                  
      2DJX     P   12 15 2023  00247 220      0.2191      1558                                                                                  
