SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
2DJX,P,2024-01-03,2024-01-19,16,330.01,0.0608,800
2DJX,C,2024-01-03,2024-01-19,16,340.01,35.0833,500
2DJX,C,2024-01-03,2024-01-19,16,350.01,25.1970,350
2DJX,C,2024-01-03,2024-03-15,72,358.99,21.6191,7832
2DJX,P,2024-01-03,2024-03-15,72,358.99,3.8044,7832
2DJX,C,2024-01-03,2024-03-15,72,360.6,20.3793,5608
2DJX,P,2024-01-03,2024-03-15,72,360.6,4.1577,5608
2DJX,C,2024-01-03,2024-03-15,72,364.85,17.1066,6928
2DJX,P,2024-01-03,2024-03-15,72,364.85,5.0901,6928
2DJX,C,2024-01-03,2024-03-15,72,364.87,17.0912,4157
2DJX,P,2024-01-03,2024-03-15,72,364.87,5.0945,4157
2DJX,C,2024-01-03,2024-03-15,72,365.01,16.9834,41
2DJX,P,2024-01-03,2024-03-15,72,365.01,5.1252,41
2DJX,C,2024-01-03,2024-03-15,72,365.28,16.7755,2768
2DJX,P,2024-01-03,2024-03-15,72,365.28,5.1845,2768
2DJX,C,2024-01-03,2024-03-15,72,371.71,11.8241,2719
2DJX,P,2024-01-03,2024-03-15,72,371.71,6.5952,2719
2DJX,C,2024-01-03,2024-03-15,72,376.0,8.8557,111
2DJX,P,2024-01-03,2024-03-15,72,376.0,7.8716,111
2DJX,C,2024-01-03,2024-03-15,72,376.34,8.7068,1342
2DJX,P,2024-01-03,2024-03-15,72,376.34,8.0590,1342
2DJX,C,2024-01-03,2024-03-15,72,377.87,8.0624,2665
2DJX,P,2024-01-03,2024-03-15,72,377.87,8.9285,2665
2DJX,C,2024-01-03,2024-03-15,72,378.51,7.8052,1067
2DJX,P,2024-01-03,2024-03-15,72,378.51,9.3045,1067
2DJX,C,2024-01-03,2024-03-15,72,378.84,7.6753,1066
2DJX,P,2024-01-03,2024-03-15,72,378.84,9.5012,1066
2DJX,C,2024-01-03,2024-03-15,72,379.5,7.4212,132
2DJX,P,2024-01-03,2024-03-15,72,379.5,9.9001,132
2DJX,C,2024-01-03,2024-03-15,72,379.8,7.3082,171
2DJX,P,2024-01-03,2024-03-15,72,379.8,10.0839,171
2DJX,C,2024-01-03,2024-03-15,72,380.08,7.2041,928
