SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ-CLOSE,VOLUME
4RUT,C,2024-02-01,2024-02-07,6,1599.84,375.3921,829,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,P,2024-02-01,2024-02-07,6,1599.84,0.0033,829,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-07,6,1972.61,24.0233,19,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-07,6,2011.86,9.0766,19,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-14,13,1704.72,272.3804,355,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,P,2024-02-01,2024-02-14,13,1704.72,0.7274,355,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-14,13,1939.91,55.2746,70,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-14,13,1974.63,34.2517,42,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-14,13,2005.67,20.867,28,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-15,14,1649.42,327.616,129,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,P,2024-02-01,2024-02-15,14,1649.42,0.6267,129,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-02-16,15,1950.01,24.0835,200,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-21,20,1888.22,101.8061,14,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-02-21,20,1925.98,72.3873,14,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-03-01,29,1898.43,100.3454,45,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-03-01,29,2002.85,36.502,45,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-03-04,32,1471.18,507.7971,497,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,P,2024-02-01,2024-03-04,32,1471.18,0.804,497,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-03-07,35,1878.72,120.1972,21,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-03-07,35,1919.49,89.1095,21,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-03-14,42,1776.89,212.8988,66,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-03-14,42,1806.21,186.2913,34,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
4RUT,C,2024-02-01,2024-03-14,42,1832.86,162.6991,32,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1728.67,258.4461,938,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1728.67,6.0311,938,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1736.95,250.6306,438,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1736.95,6.4434,438,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1754.49,234.1212,58,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1754.49,7.3636,58,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1754.55,234.0652,869,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1754.55,7.3672,869,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1762.15,226.9722,433,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1762.15,7.8263,433,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1797.19,194.8477,143,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1797.19,10.521,143,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1798.22,193.9262,715,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1798.22,10.623,715,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1798.39,193.7741,572,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1798.39,10.6399,572,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1803.0,189.6498,657,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1803.0,11.0965,657,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1810.56,182.8942,1956,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1810.56,11.8532,1956,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1810.7,182.7691,838,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1810.7,11.8673,838,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1816.78,177.336,853,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1816.78,12.4759,853,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1818.1,176.1564,1950,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1818.1,12.608,1950,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1819.94,174.5174,556,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1819.94,12.7974,556,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1832.87,163.2248,1104,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1832.87,14.3533,1104,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1834.87,161.5244,1689,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1834.87,14.6404,1689,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1838.59,158.3753,562,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1838.59,15.1878,562,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1865.8,135.7249,4376,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1865.8,19.5759,4376,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1870.95,131.5599,2762,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1870.95,20.5285,2762,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1875.83,127.6498,539,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1875.83,21.4676,539,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1896.0,111.9269,12,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1896.0,25.7877,12,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1896.05,111.8891,801,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1896.05,25.7995,801,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1901.0,108.1573,36,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1901.0,26.9866,36,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1903.84,106.0172,798,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1903.84,27.6685,798,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1915.0,97.8814,234,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1915.0,30.6225,234,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1916.0,97.1788,56,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1916.0,30.9135,56,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1919.26,94.9036,323,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1919.26,31.8778,323,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1922.0,93.0048,6,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1922.0,32.7018,6,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1923.0,92.3154,1361,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1923.0,33.0061,1361,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1924.0,91.6283,183,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1924.0,33.3126,183,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1926.0,90.2608,208,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1926.0,33.9325,208,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1936.0,83.5428,3,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1936.0,37.1516,3,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1937.0,82.8827,234,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1937.0,37.4851,234,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1939.0,81.5695,337,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1939.0,38.1593,337,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1942.0,79.6782,6,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1942.0,39.2492,6,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1943.0,79.063,109,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1943.0,39.6276,109,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1949.0,75.4264,20,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1949.0,41.9532,20,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,P,2024-02-01,2024-03-15,43,1950.01,42.3538,125,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
2RUT,C,2024-02-01,2024-03-15,43,1966.0,65.4146,1022,1959.579956,1974.420044,1936.22998,1974.420044,1974.420044,4386090000
