   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST   
      2DJX     C   06 21 2024  00381 070     11.2265      3957                                                                                  
      2DJX     P   06 21 2024  00381 070      3.1945      3957                                                                                  
      2DJX     C   06 21 2024  00384 030      9.1907      5888                                                                                  
      2DJX     P   06 21 2024  00384 030      4.1082      5888                                                                                  
      2DJX     C   06 21 2024  00384 070      9.1632      1962                                                                                  
      2DJX     P   06 21 2024  00384 070      4.1206      1962                                                                                  
      2DJX     C   06 21 2024  00384 380      8.9500       654                                                                                  
      2DJX     P   06 21 2024  00384 380      4.2163       654                                                                                  
      2DJX     C   06 21 2024  00386 640      7.3956      1682                                                                                  
      2DJX     P   06 21 2024  00386 640      4.9139      1682                                                                                  
      2DJX     C   06 21 2024  00389 800      5.2604       386                                                                                  
      2DJX     P   06 21 2024  00389 800      5.9276       386                                                                                  
      2DJX     C   06 21 2024  00390 100      5.0737      1286                                                                                  
      2DJX     P   06 21 2024  00390 100      6.0398      1286                                                                                  
      2DJX     C   06 21 2024  00390 500      4.8370       900                                                                                  
      2DJX     P   06 21 2024  00390 500      6.2017       900                                                                                  
      2DJX     C   06 21 2024  00391 160      4.4560      2587                                                                                  
      2DJX     P   06 21 2024  00391 160      6.4783      2587                                                                                  
      2DJX     C   06 21 2024  00392 730      3.6002     12888                                                                                  
      2DJX     P   06 21 2024  00392 730      7.1870     12888                                                                                  
      2DJX     C   06 21 2024  00392 820      3.5534      8375                                                                                  
      2DJX     P   06 21 2024  00392 820      7.2299      8375                                                                                  
      2DJX     C   06 21 2024  00393 000      3.4606        79                                                                                  
      2DJX     P   06 21 2024  00393 000      7.3165        79                                                                                  
      2DJX     C   06 21 2024  00393 300      3.3082      3860                                                                                  
      2DJX     P   06 21 2024  00393 300      7.4630      3860                                                                                  
      2DJX     C   06 21 2024  00393 310      3.3032       643                                                                                  
      2DJX     P   06 21 2024  00393 310      7.4679       643                                                                                  
      2DJX     C   06 21 2024  00395 010      2.4979      2920                                                                                  
      2DJX     P   06 21 2024  00395 010      8.3567      2920                                                                                  
      2DJX     C   06 21 2024  00395 130      2.4586       512                                                                                  
      2DJX     P   06 21 2024  00395 130      8.4370       512                                                                                  
      2DJX     C   06 21 2024  00395 250      2.4198      2536                                                                                  
      2DJX     P   06 21 2024  00395 250      8.5177      2536                                                                                  
      2DJX     C   06 21 2024  00397 000      1.9007       285                                                                                  
      2DJX     P   06 21 2024  00397 000      9.7425       285                                                                                  
      2DJX     C   06 21 2024  00400 300      1.1497      1379                                                                                  
      2DJX     P   06 21 2024  00400 300     12.2798      1379                                                                                  
      2DJX     C   09 20 2024  00363 890     32.6583      4245                                                                                  
      2DJX     P   09 20 2024  00363 890      2.1573      4245                                                                                  
      2DJX     C   10 18 2024  00400 010      8.9129      1000                                                                                  
      2DJX     C   11 15 2024  00400 000     10.8039       500                                                                                  
      2DJX     C   11 15 2024  00400 010     10.7986      2000                                                                                  
      2DJX     C   12 20 2024  00240 470    152.4238      1173                                                                                  
      2DJX     P   12 20 2024  00240 470      0.1448      1173                                                                                  
      2DJX     C   12 20 2024  00251 150    142.1400       940                                                                                  
      2DJX     P   12 20 2024  00251 150      0.2265       940                                                                                  
      2DJX     C   12 20 2024  00261 010    132.6799       910                                                                                  
      2DJX     P   12 20 2024  00261 010      0.3360       910                                                                                  
      2DJX     C   12 20 2024  00262 810    130.9574       360                                                                                  
      2DJX     P   12 20 2024  00262 810      0.3604       360                                                                                  
      2DJX     C   12 20 2024  00264 120    129.7048      1700                                                                                  
      2DJX     P   12 20 2024  00264 120      0.3792      1700                                                                                  
      2DJX     C   12 20 2024  00265 310    128.5676      1614                                                                                  
      2DJX     P   12 20 2024  00265 310      0.3970      1614                                                                                  
      2DJX     C   12 20 2024  00265 890    128.0137       893                                                                                  
      2DJX     P   12 20 2024  00265 890      0.4060       893                                                                                  
      2DJX     C   12 20 2024  00266 520    127.4122       579                                                                                  
      2DJX     P   12 20 2024  00266 520      0.4159       579                                                                                  
      2DJX     C   12 20 2024  00268 000    125.9999      1062                                                                                  
      2DJX     P   12 20 2024  00268 000      0.4401      1062                                                                                  
      2DJX     C   12 20 2024  00270 260    123.8458      1100                                                                                  
      2DJX     P   12 20 2024  00270 260      0.4794      1100                                                                                  
      2DJX     C   12 20 2024  00270 910    123.2268      2113                                                                                  
      2DJX     P   12 20 2024  00270 910      0.4912      2113                                                                                  
      2DJX     C   12 20 2024  00271 050    123.0935      1233                                                                                  
      2DJX     P   12 20 2024  00271 050      0.4938      1233                                                                                  
      2DJX     C   12 20 2024  00271 080    123.0650       528                                                                                  
      2DJX     P   12 20 2024  00271 080      0.4944       528                                                                                  
      2DJX     C   12 20 2024  00271 750    122.4273      1078                                                                                  
      2DJX     P   12 20 2024  00271 750      0.5070      1078                                                                                  
      2DJX     C   12 20 2024  00273 520    120.7440       715                                                                                  
      2DJX     P   12 20 2024  00273 520      0.5416       715                                                                                  
      2DJX     C   12 20 2024  00276 520    117.8958      1721                                                                                  
      2DJX     P   12 20 2024  00276 520      0.6050      1721                                                                                  
      2DJX     C   12 20 2024  00280 540    114.0896      1738                                                                                  
      2DJX     P   12 20 2024  00280 540      0.7004      1738                                                                                  
      2DJX     C   12 20 2024  00287 310    107.7100      1334                                                                                  
      2DJX     P   12 20 2024  00287 310      0.8913      1334                                                                                  
      2DJX     C   12 20 2024  00288 670    106.4335       678                                                                                  
      2DJX     P   12 20 2024  00288 670      0.9348       678                                                                                  
      2DJX     C   12 20 2024  00291 000    104.2510      1322                                                                                  
      2DJX     P   12 20 2024  00291 000      1.0137      1322                                                                                  
      2DJX     P   12 20 2024  00301 000      1.3816       950                                                                                  
      2DJX     C   12 20 2024  00309 840     86.6601      3408                                                                                  
      2DJX     P   12 20 2024  00309 840      1.7078      3408                                                                                  
      2DJX     C   12 20 2024  00326 810     70.9393      3080                                                                                  
      2DJX     P   12 20 2024  00326 810      2.4572      3080                                                                                  
      2DJX     P   12 20 2024  00330 010      2.6345       900                                                                                  
      2DJX     C   12 20 2024  00330 670     67.4069       885                                                                                  
      2DJX     P   12 20 2024  00330 670      2.6711       885                                                                                  
      2DJX     C   12 20 2024  00333 870     64.4785       729                                                                                  
      2DJX     P   12 20 2024  00333 870      2.8484       729                                                                                  
      2DJX     C   12 20 2024  00336 280     62.2731       868                                                                                  
      2DJX     P   12 20 2024  00336 280      2.9819       868                                                                                  
      2DJX     C   12 20 2024  00336 400     62.1632      2032                                                                                  
      2DJX     P   12 20 2024  00336 400      2.9886      2032                                                                                  
      2DJX     C   12 20 2024  00338 520     60.2232      1010                                                                                  
      2DJX     P   12 20 2024  00338 520      3.1061      1010                                                                                  
      2DJX     C   12 20 2024  00338 660     60.0951       575                                                                                  
      2DJX     P   12 20 2024  00338 660      3.1138       575                                                                                  
      2DJX     C   12 20 2024  00341 460     57.5330      2306                                                                                  
      2DJX     P   12 20 2024  00341 460      3.2693      2306                                                                                  
      2DJX     C   12 20 2024  00344 660     54.6049       733                                                                                  
      2DJX     P   12 20 2024  00344 660      3.4469       733                                                                                  
      2DJX     C   12 20 2024  00345 610     53.7356      1064                                                                                  
      2DJX     P   12 20 2024  00345 610      3.4997      1064                                                                                  
      2DJX     C   12 20 2024  00346 520     52.9029      1499                                                                                  
      2DJX     P   12 20 2024  00346 520      3.5502      1499                                                                                  
      2DJX     C   12 20 2024  00347 160     52.3173      1512                                                                                  
      2DJX     P   12 20 2024  00347 160      3.5857      1512                                                                                  
      2DJX     C   12 20 2024  00347 610     51.9056      1537                                                                                  
      2DJX     P   12 20 2024  00347 610      3.6107      1537                                                                                  
      2DJX     C   12 20 2024  00347 700     51.8232       615                                                                                  
      2DJX     P   12 20 2024  00347 700      3.6157       615                                                                                  
      2DJX     C   12 20 2024  00348 050     51.5029       306                                                                                  
      2DJX     P   12 20 2024  00348 050      3.6351       306                                                                                  
      2DJX     C   12 20 2024  00349 410     50.2585       763                                                                                  
      2DJX     P   12 20 2024  00349 410      3.7106       763                                                                                  
      2DJX     C   12 20 2024  00349 790     49.9108      2131                                                                                  
      2DJX     P   12 20 2024  00349 790      3.7317      2131                                                                                  
      2DJX     C   12 20 2024  00350 010     49.7095      1450                                                                                  
      2DJX     C   12 20 2024  00350 550     49.2154      1405                                                                                  
      2DJX     P   12 20 2024  00350 550      3.7739      1405                                                                                  
      2DJX     C   12 20 2024  00351 740     48.1265      4451                                                                                  
      2DJX     P   12 20 2024  00351 740      3.8400      4451                                                                                  
      2DJX     C   12 20 2024  00351 800     48.0716      7419                                                                                  
      2DJX     P   12 20 2024  00351 800      3.8433      7419                                                                                  
      2DJX     C   12 20 2024  00351 900     47.9801      1491                                                                                  
      2DJX     P   12 20 2024  00351 900      3.8489      1491                                                                                  
      2DJX     C   12 20 2024  00353 040     46.9369      5912                                                                                  
      2DJX     P   12 20 2024  00353 040      3.9122      5912                                                                                  
      2DJX     C   12 20 2024  00353 210     46.7814      5911                                                                                  
      2DJX     P   12 20 2024  00353 210      3.9216      5911                                                                                  
      2DJX     C   12 20 2024  00355 460     44.7388      2922                                                                                  
      2DJX     P   12 20 2024  00355 460      4.0627      2922                                                                                  
      2DJX     C   12 20 2024  00355 580     44.6331      1474                                                                                  
      2DJX     P   12 20 2024  00355 580      4.0735      1474                                                                                  
      2DJX     C   12 20 2024  00356 360     43.9467      1180                                                                                  
      2DJX     P   12 20 2024  00356 360      4.1441      1180                                                                                  
      2DJX     C   12 20 2024  00359 140     41.5103      2930                                                                                  
      2DJX     P   12 20 2024  00359 140      4.4058      2930                                                                                  
      2DJX     C   12 20 2024  00359 160     41.4928      1830                                                                                  
      2DJX     P   12 20 2024  00359 160      4.4077      1830                                                                                  
      2DJX     C   12 20 2024  00369 260     33.2241       855                                                                                  
      2DJX     P   12 20 2024  00369 260      5.9416       855                                                                                  
      2DJX     C   12 20 2024  00374 800     29.0377      2768                                                                                  
      2DJX     P   12 20 2024  00374 800      7.1319      2768                                                                                  
      2DJX     C   12 20 2024  00374 910     28.9552      2768                                                                                  
      2DJX     P   12 20 2024  00374 910      7.1562      2768                                                                                  
      2DJX     C   12 20 2024  00375 040     28.8577      6229                                                                                  
      2DJX     P   12 20 2024  00375 040      7.1849      6229                                                                                  
      2DJX     C   12 20 2024  00380 850     24.5012      2719                                                                                  
      2DJX     P   12 20 2024  00380 850      8.4672      2719                                                                                  
      2DJX     C   12 20 2024  00383 340     22.6343      4838                                                                                  
      2DJX     P   12 20 2024  00383 340      9.0170      4838                                                                                  
      2DJX     C   12 20 2024  00385 640     20.9126      1342                                                                                  
      2DJX     P   12 20 2024  00385 640      9.5275      1342                                                                                  
      2DJX     C   12 20 2024  00391 600     16.8724      5888                                                                                  
      2DJX     P   12 20 2024  00391 600     11.2717      5888                                                                                  
      2DJX     C   12 20 2024  00394 630     15.4230      2600                                                                                  
      2DJX     P   12 20 2024  00394 630     12.7632      2600                                                                                  
      2DJX     C   12 20 2024  00396 790     14.3899      1297                                                                                  
      2DJX     P   12 20 2024  00396 790     13.8264      1297                                                                                  
      2DJX     C   12 20 2024  00397 430     14.0842      1296                                                                                  
      2DJX     P   12 20 2024  00397 430     14.1418      1296                                                                                  
      2DJX     C   12 20 2024  00397 830     13.8931       517                                                                                  
      2DJX     P   12 20 2024  00397 830     14.3390       517                                                                                  
      2DJX     C   12 20 2024  00399 000     13.3343      1935                                                                                  
      2DJX     P   12 20 2024  00399 000     14.9157      1935                                                                                  
      2DJX     C   12 20 2024  00399 510     13.0907      3092                                                                                  
      2DJX     P   12 20 2024  00399 510     15.1671      3092                                                                                  
      2DJX     C   12 20 2024  00399 530     13.0811      5156                                                                                  
      2DJX     P   12 20 2024  00399 530     15.1769      5156                                                                                  
      2DJX     C   12 20 2024  00399 730     12.9856      4777                                                                                  
      2DJX     P   12 20 2024  00399 730     15.2755      4777                                                                                  
      2DJX     C   12 20 2024  00400 010     12.8519      1000                                                                                  
      2DJX     C   12 20 2024  00400 700     12.5223      4114                                                                                  
      2DJX     P   12 20 2024  00400 700     15.7536      4114                                                                                  
      2DJX     C   12 20 2024  00402 530     11.6482       512                                                                                  
      2DJX     P   12 20 2024  00402 530     16.6556       512                                                                                  
      2DJX     C   12 20 2024  00420 010      3.9132       825                                                                                  
      2DJX     C   01 17 2025  00400 000     14.1304       600                                                                                  
      2DJX     C   06 20 2025  00416 080     13.5948      1379                                                                                  
      2DJX     P   06 20 2025  00416 080     24.7373      1379                                                                                  
      2DJX     C   12 19 2025  00258 950    144.6289      4024                                                                                  
      2DJX     P   12 19 2025  00258 950      3.4225      4024                                                                                  
      2DJX     C   12 19 2025  00291 590    115.6093       983                                                                                  
      2DJX     P   12 19 2025  00291 590      4.6195       983                                                                                  
      2DJX     C   12 19 2025  00299 210    108.8345      1285                                                                                  
      2DJX     P   12 19 2025  00299 210      4.8990      1285                                                                                  
      2DJX     P   12 19 2025  00310 010      5.2951       600                                                                                  
      2DJX     C   12 19 2025  00322 580     88.2853       822                                                                                  
      2DJX     P   12 19 2025  00322 580      5.9847       822                                                                                  
      2DJX     C   12 19 2025  00330 070     82.2579       596                                                                                  
      2DJX     P   12 19 2025  00330 070      6.8912       596                                                                                  
      2DJX     C   12 19 2025  00331 060     81.4819       592                                                                                  
      2DJX     P   12 19 2025  00331 060      7.0318       592                                                                                  
      2DJX     C   12 19 2025  00331 670     81.0050       614                                                                                  
      2DJX     P   12 19 2025  00331 670      7.1195       614                                                                                  
      2DJX     C   12 19 2025  00334 600     78.7263       587                                                                                  
      2DJX     P   12 19 2025  00334 600      7.5533       587                                                                                  
      2DJX     C   12 19 2025  00334 610     78.7186       587                                                                                  
      2DJX     P   12 19 2025  00334 610      7.5548       587                                                                                  
      2DJX     C   12 19 2025  00336 260     77.4447      3333                                                                                  
      2DJX     P   12 19 2025  00336 260      7.8085      3333                                                                                  
      2DJX     C   12 19 2025  00336 300     77.4140       291                                                                                  
      2DJX     P   12 19 2025  00336 300      7.8148       291                                                                                  
      2DJX     C   12 19 2025  00340 560     74.1457      1428                                                                                  
      2DJX     P   12 19 2025  00340 560      8.4902      1428                                                                                  
      2DJX     C   12 19 2025  00341 180     73.6700      1716                                                                                  
      2DJX     P   12 19 2025  00341 180      8.5885      1716                                                                                  
      2DJX     C   12 19 2025  00342 030     73.0179      1431                                                                                  
      2DJX     P   12 19 2025  00342 030      8.7232      1431                                                                                  
      2DJX     C   12 19 2025  00342 230     72.8644       576                                                                                  
      2DJX     P   12 19 2025  00342 230      8.7549       576                                                                                  
      2DJX     C   12 19 2025  00346 190     69.8262      1410                                                                                  
      2DJX     P   12 19 2025  00346 190      9.3827      1410                                                                                  
      2DJX     C   12 19 2025  00347 240     69.0206      1434                                                                                  
      2DJX     P   12 19 2025  00347 240      9.5492      1434                                                                                  
      2DJX     C   12 19 2025  00347 320     68.9593      1004                                                                                  
      2DJX     P   12 19 2025  00347 320      9.5619      1004                                                                                  
      2DJX     C   12 19 2025  00356 070     62.2484      1407                                                                                  
      2DJX     P   12 19 2025  00356 070     10.9514      1407                                                                                  
      2DJX     C   12 19 2025  00356 170     62.1717       758                                                                                  
      2DJX     P   12 19 2025  00356 170     10.9672       758                                                                                  
      2DJX     C   12 19 2025  00356 610     61.8342       418                                                                                  
      2DJX     P   12 19 2025  00356 610     11.0371       418                                                                                  
      2DJX     C   12 19 2025  00358 970     60.0244       700                                                                                  
