Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,09 20 2024,00363 890,32.1474,4245,06 28 2024
1,2DJX,P,09 20 2024,00363 890,1.7563,4245,06 28 2024
2,2DJX,C,09 20 2024,00389 530,11.1309,6499,06 28 2024
3,2DJX,P,09 20 2024,00389 530,6.0655,6499,06 28 2024
4,2DJX,C,09 20 2024,00390 390,10.5760,7776,06 28 2024
5,2DJX,P,09 20 2024,00390 390,6.3601,7776,06 28 2024
6,2DJX,C,09 20 2024,00392 190,9.4544,2580,06 28 2024
7,2DJX,P,09 20 2024,00392 190,7.0163,2580,06 28 2024
8,2DJX,C,09 20 2024,00392 650,9.1766,2579,06 28 2024
9,2DJX,P,09 20 2024,00392 650,7.1929,2579,06 28 2024
10,2DJX,C,09 20 2024,00395 160,7.7278,3840,06 28 2024
11,2DJX,P,09 20 2024,00395 160,8.2234,3840,06 28 2024
12,2DJX,C,10 18 2024,00400 000,7.6107,1000,06 28 2024
13,2DJX,C,10 18 2024,00400 010,7.6058,1000,06 28 2024
14,2DJX,C,11 15 2024,00400 000,9.6782,1000,06 28 2024
15,2DJX,C,11 15 2024,00400 010,9.6733,2000,06 28 2024
16,2DJX,C,12 20 2024,00240 470,154.4350,1173,06 28 2024
17,2DJX,P,12 20 2024,00240 470,0.3817,1173,06 28 2024
18,2DJX,C,12 20 2024,00251 150,144.0992,940,06 28 2024
19,2DJX,P,12 20 2024,00251 150,0.4606,940,06 28 2024
20,2DJX,C,12 20 2024,00261 010,134.5677,910,06 28 2024
21,2DJX,P,12 20 2024,00261 010,0.5441,910,06 28 2024
22,2DJX,C,12 20 2024,00262 810,132.8284,360,06 28 2024
23,2DJX,P,12 20 2024,00262 810,0.5601,360,06 28 2024
24,2DJX,C,12 20 2024,00264 120,131.5627,1700,06 28 2024
25,2DJX,P,12 20 2024,00264 120,0.5718,1700,06 28 2024
26,2DJX,C,12 20 2024,00265 310,130.4129,1614,06 28 2024
27,2DJX,P,12 20 2024,00265 310,0.5825,1614,06 28 2024
28,2DJX,C,12 20 2024,00265 890,129.8525,893,06 28 2024
29,2DJX,P,12 20 2024,00265 890,0.5877,893,06 28 2024
30,2DJX,C,12 20 2024,00266 520,129.2439,579,06 28 2024
31,2DJX,P,12 20 2024,00266 520,0.5934,579,06 28 2024
32,2DJX,C,12 20 2024,00268 000,127.8140,1062,06 28 2024
33,2DJX,P,12 20 2024,00268 000,0.6067,1062,06 28 2024
34,2DJX,C,12 20 2024,00270 260,125.6305,1100,06 28 2024
35,2DJX,P,12 20 2024,00270 260,0.6271,1100,06 28 2024
36,2DJX,C,12 20 2024,00270 910,125.0026,2113,06 28 2024
37,2DJX,P,12 20 2024,00270 910,0.6330,2113,06 28 2024
38,2DJX,C,12 20 2024,00271 050,124.8673,1233,06 28 2024
39,2DJX,P,12 20 2024,00271 050,0.6343,1233,06 28 2024
40,2DJX,C,12 20 2024,00271 080,124.8383,528,06 28 2024
41,2DJX,P,12 20 2024,00271 080,0.6345,528,06 28 2024
42,2DJX,C,12 20 2024,00271 750,124.1911,1078,06 28 2024
43,2DJX,P,12 20 2024,00271 750,0.6406,1078,06 28 2024
44,2DJX,C,12 20 2024,00273 520,122.4813,715,06 28 2024
45,2DJX,P,12 20 2024,00273 520,0.6568,715,06 28 2024
46,2DJX,C,12 20 2024,00276 520,119.5857,1721,06 28 2024
47,2DJX,P,12 20 2024,00276 520,0.6868,1721,06 28 2024
48,2DJX,C,12 20 2024,00280 540,115.7107,1738,06 28 2024
49,2DJX,P,12 20 2024,00280 540,0.7319,1738,06 28 2024
50,2DJX,C,12 20 2024,00287 310,109.1875,1334,06 28 2024
51,2DJX,P,12 20 2024,00287 310,0.8104,1334,06 28 2024
52,2DJX,C,12 20 2024,00288 670,107.8772,678,06 28 2024
53,2DJX,P,12 20 2024,00288 670,0.8263,678,06 28 2024
54,2DJX,C,12 20 2024,00291 000,105.6337,1322,06 28 2024
55,2DJX,P,12 20 2024,00291 000,0.8550,1322,06 28 2024
56,2DJX,P,12 20 2024,00301 000,0.9936,950,06 28 2024
57,2DJX,C,12 20 2024,00309 840,87.5736,3408,06 28 2024
58,2DJX,P,12 20 2024,00309 840,1.1667,3408,06 28 2024
59,2DJX,C,12 20 2024,00326 810,71.4700,3080,06 28 2024
60,2DJX,P,12 20 2024,00326 810,1.6115,3080,06 28 2024
61,2DJX,P,12 20 2024,00330 010,1.7254,900,06 28 2024
62,2DJX,C,12 20 2024,00330 670,67.8457,885,06 28 2024
63,2DJX,P,12 20 2024,00330 670,1.7513,885,06 28 2024
