,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,TIME-TO-EXPIRATION
0,2024-07-01,2DJX,C,2024-09-20,00363 890,32.2969,4245,81
1,2024-07-01,2DJX,P,2024-09-20,00363 890,1.4921,4245,81
2,2024-07-01,2DJX,C,2024-09-20,00389 530,11.0903,6499,81
3,2024-07-01,2DJX,P,2024-09-20,00389 530,5.6225,6499,81
4,2024-07-01,2DJX,C,2024-09-20,00390 390,10.5288,7776,81
5,2024-07-01,2DJX,P,2024-09-20,00390 390,5.9107,7776,81
6,2024-07-01,2DJX,C,2024-09-20,00392 190,9.411,2580,81
7,2024-07-01,2DJX,P,2024-09-20,00392 190,6.5717,2580,81
8,2024-07-01,2DJX,C,2024-09-20,00392 650,9.1346,2579,81
9,2024-07-01,2DJX,P,2024-09-20,00392 650,6.7499,2579,81
10,2024-07-01,2DJX,C,2024-09-20,00395 160,7.6963,3840,81
11,2024-07-01,2DJX,P,2024-09-20,00395 160,7.7919,3840,81
12,2024-07-01,2DJX,C,2024-10-18,00400 000,7.675,1000,109
13,2024-07-01,2DJX,C,2024-10-18,00400 010,7.6703,1000,109
14,2024-07-01,2DJX,C,2024-11-15,00400 000,9.7774,1000,137
15,2024-07-01,2DJX,C,2024-11-15,00400 010,9.7726,2000,137
16,2024-07-01,2DJX,C,2024-12-20,00240 470,154.6817,1173,172
17,2024-07-01,2DJX,P,2024-12-20,00240 470,0.0001,1173,172
18,2024-07-01,2DJX,C,2024-12-20,00251 150,144.2626,940,172
19,2024-07-01,2DJX,P,2024-12-20,00251 150,0.0001,940,172
20,2024-07-01,2DJX,C,2024-12-20,00261 010,134.6434,910,172
21,2024-07-01,2DJX,P,2024-12-20,00261 010,0.0001,910,172
22,2024-07-01,2DJX,C,2024-12-20,00262 810,132.8874,360,172
23,2024-07-01,2DJX,P,2024-12-20,00262 810,0.0001,360,172
24,2024-07-01,2DJX,C,2024-12-20,00264 120,131.6094,1700,172
25,2024-07-01,2DJX,P,2024-12-20,00264 120,0.0001,1700,172
26,2024-07-01,2DJX,C,2024-12-20,00265 310,130.4485,1614,172
27,2024-07-01,2DJX,P,2024-12-20,00265 310,0.0001,1614,172
28,2024-07-01,2DJX,C,2024-12-20,00265 890,129.8827,893,172
29,2024-07-01,2DJX,P,2024-12-20,00265 890,0.0001,893,172
30,2024-07-01,2DJX,C,2024-12-20,00266 520,129.268,579,172
31,2024-07-01,2DJX,P,2024-12-20,00266 520,0.0001,579,172
32,2024-07-01,2DJX,C,2024-12-20,00268 000,127.8242,1062,172
33,2024-07-01,2DJX,P,2024-12-20,00268 000,0.0001,1062,172
34,2024-07-01,2DJX,C,2024-12-20,00270 260,125.6194,1100,172
35,2024-07-01,2DJX,P,2024-12-20,00270 260,0.0001,1100,172
36,2024-07-01,2DJX,C,2024-12-20,00270 910,124.9853,2113,172
37,2024-07-01,2DJX,P,2024-12-20,00270 910,0.0001,2113,172
38,2024-07-01,2DJX,C,2024-12-20,00271 050,124.8488,1233,172
39,2024-07-01,2DJX,P,2024-12-20,00271 050,0.0001,1233,172
40,2024-07-01,2DJX,C,2024-12-20,00271 080,124.8206,528,172
41,2024-07-01,2DJX,P,2024-12-20,00271 080,0.0012,528,172
42,2024-07-01,2DJX,C,2024-12-20,00271 750,124.194,1078,172
43,2024-07-01,2DJX,P,2024-12-20,00271 750,0.0282,1078,172
44,2024-07-01,2DJX,C,2024-12-20,00273 520,122.5384,715,172
45,2024-07-01,2DJX,P,2024-12-20,00273 520,0.0993,715,172
46,2024-07-01,2DJX,C,2024-12-20,00276 520,119.7323,1721,172
47,2024-07-01,2DJX,P,2024-12-20,00276 520,0.22,1721,172
48,2024-07-01,2DJX,C,2024-12-20,00280 540,115.9722,1738,172
49,2024-07-01,2DJX,P,2024-12-20,00280 540,0.3817,1738,172
50,2024-07-01,2DJX,C,2024-12-20,00287 310,109.6399,1334,172
51,2024-07-01,2DJX,P,2024-12-20,00287 310,0.654,1334,172
52,2024-07-01,2DJX,C,2024-12-20,00288 670,108.3678,678,172
53,2024-07-01,2DJX,P,2024-12-20,00288 670,0.7087,678,172
54,2024-07-01,2DJX,C,2024-12-20,00291 000,106.1884,1322,172
55,2024-07-01,2DJX,P,2024-12-20,00291 000,0.8024,1322,172
56,2024-07-01,2DJX,P,2024-12-20,00301 000,1.2046,950,172
57,2024-07-01,2DJX,C,2024-12-20,00309 840,88.5664,3408,172
58,2024-07-01,2DJX,P,2024-12-20,00309 840,1.5602,3408,172
59,2024-07-01,2DJX,C,2024-12-20,00326 810,72.6934,3080,172
60,2024-07-01,2DJX,P,2024-12-20,00326 810,2.2427,3080,172
61,2024-07-01,2DJX,P,2024-12-20,00330 010,2.3714,900,172
62,2024-07-01,2DJX,C,2024-12-20,00330 670,69.083,885,172
63,2024-07-01,2DJX,P,2024-12-20,00330 670,2.3979,885,172
64,2024-07-01,2DJX,C,2024-12-20,00333 870,66.0899,729,172
65,2024-07-01,2DJX,P,2024-12-20,00333 870,2.5267,729,172
66,2024-07-01,2DJX,C,2024-12-20,00336 280,63.8357,868,172
67,2024-07-01,2DJX,P,2024-12-20,00336 280,2.6236,868,172
68,2024-07-01,2DJX,C,2024-12-20,00336 400,63.7234,2032,172
69,2024-07-01,2DJX,P,2024-12-20,00336 400,2.6284,2032,172
70,2024-07-01,2DJX,C,2024-12-20,00338 520,61.7405,1010,172
71,2024-07-01,2DJX,P,2024-12-20,00338 520,2.7137,1010,172
72,2024-07-01,2DJX,C,2024-12-20,00338 660,61.6095,575,172
73,2024-07-01,2DJX,P,2024-12-20,00338 660,2.7193,575,172
74,2024-07-01,2DJX,C,2024-12-20,00341 460,58.9906,2306,172
75,2024-07-01,2DJX,P,2024-12-20,00341 460,2.8319,2306,172
76,2024-07-01,2DJX,C,2024-12-20,00344 660,55.9974,733,172
77,2024-07-01,2DJX,P,2024-12-20,00344 660,2.9607,733,172
78,2024-07-01,2DJX,C,2024-12-20,00345 610,55.1089,1064,172
79,2024-07-01,2DJX,P,2024-12-20,00345 610,2.9989,1064,172
80,2024-07-01,2DJX,C,2024-12-20,00346 520,54.2577,1499,172
81,2024-07-01,2DJX,P,2024-12-20,00346 520,3.0355,1499,172
82,2024-07-01,2DJX,C,2024-12-20,00347 160,53.6591,1512,172
83,2024-07-01,2DJX,P,2024-12-20,00347 160,3.0612,1512,172
84,2024-07-01,2DJX,C,2024-12-20,00347 610,53.2382,1537,172
85,2024-07-01,2DJX,P,2024-12-20,00347 610,3.0793,1537,172
86,2024-07-01,2DJX,C,2024-12-20,00347 700,53.154,615,172
87,2024-07-01,2DJX,P,2024-12-20,00347 700,3.083,615,172
88,2024-07-01,2DJX,C,2024-12-20,00348 050,52.8266,306,172
89,2024-07-01,2DJX,P,2024-12-20,00348 050,3.097,306,172
90,2024-07-01,2DJX,C,2024-12-20,00349 410,51.5546,763,172
91,2024-07-01,2DJX,P,2024-12-20,00349 410,3.1518,763,172
92,2024-07-01,2DJX,C,2024-12-20,00349 790,51.1992,2131,172
93,2024-07-01,2DJX,P,2024-12-20,00349 790,3.1671,2131,172
94,2024-07-01,2DJX,C,2024-12-20,00350 010,50.9934,1450,172
95,2024-07-01,2DJX,C,2024-12-20,00350 550,50.4884,1405,172
96,2024-07-01,2DJX,P,2024-12-20,00350 550,3.1977,1405,172
97,2024-07-01,2DJX,C,2024-12-20,00351 740,49.3754,4451,172
98,2024-07-01,2DJX,P,2024-12-20,00351 740,3.2456,4451,172
99,2024-07-01,2DJX,C,2024-12-20,00351 800,49.3192,7419,172
100,2024-07-01,2DJX,P,2024-12-20,00351 800,3.2481,7419,172
101,2024-07-01,2DJX,C,2024-12-20,00351 900,49.2257,1491,172
102,2024-07-01,2DJX,P,2024-12-20,00351 900,3.2521,1491,172
103,2024-07-01,2DJX,C,2024-12-20,00353 040,48.1598,5912,172
104,2024-07-01,2DJX,P,2024-12-20,00353 040,3.2983,5912,172
105,2024-07-01,2DJX,C,2024-12-20,00353 210,48.0009,5911,172
106,2024-07-01,2DJX,P,2024-12-20,00353 210,3.3052,5911,172
107,2024-07-01,2DJX,C,2024-12-20,00355 460,45.8971,2922,172
108,2024-07-01,2DJX,P,2024-12-20,00355 460,3.3965,2922,172
109,2024-07-01,2DJX,C,2024-12-20,00355 580,45.7848,1474,172
110,2024-07-01,2DJX,P,2024-12-20,00355 580,3.4013,1474,172
111,2024-07-01,2DJX,C,2024-12-20,00356 360,45.0555,1180,172
112,2024-07-01,2DJX,P,2024-12-20,00356 360,3.433,1180,172
113,2024-07-01,2DJX,C,2024-12-20,00359 140,42.4562,2930,172
114,2024-07-01,2DJX,P,2024-12-20,00359 140,3.5457,2930,172
115,2024-07-01,2DJX,C,2024-12-20,00359 160,42.4375,1830,172
116,2024-07-01,2DJX,P,2024-12-20,00359 160,3.5465,1830,172
117,2024-07-01,2DJX,C,2024-12-20,00369 260,33.857,855,172
118,2024-07-01,2DJX,P,2024-12-20,00369 260,4.8193,855,172
119,2024-07-01,2DJX,C,2024-12-20,00374 800,29.4443,2768,172
120,2024-07-01,2DJX,P,2024-12-20,00374 800,5.8113,2768,172
121,2024-07-01,2DJX,C,2024-12-20,00374 910,29.3582,2768,172
122,2024-07-01,2DJX,P,2024-12-20,00374 910,5.8325,2768,172
123,2024-07-01,2DJX,C,2024-12-20,00375 040,29.2566,6229,172
124,2024-07-01,2DJX,P,2024-12-20,00375 040,5.8578,6229,172
125,2024-07-01,2DJX,C,2024-12-20,00380 850,24.8223,2719,172
126,2024-07-01,2DJX,P,2024-12-20,00380 850,7.0916,2719,172
127,2024-07-01,2DJX,C,2024-12-20,00383 340,22.9832,4838,172
128,2024-07-01,2DJX,P,2024-12-20,00383 340,7.6816,4838,172
129,2024-07-01,2DJX,C,2024-12-20,00385 640,21.3287,1342,172
130,2024-07-01,2DJX,P,2024-12-20,00385 640,8.2709,1342,172
131,2024-07-01,2DJX,C,2024-12-20,00391 600,17.2554,5888,172
132,2024-07-01,2DJX,P,2024-12-20,00391 600,10.012,5888,172
133,2024-07-01,2DJX,C,2024-12-20,00394 630,15.2859,2600,172
134,2024-07-01,2DJX,P,2024-12-20,00394 630,10.9985,2600,172
135,2024-07-01,2DJX,C,2024-12-20,00396 790,13.9727,1297,172
136,2024-07-01,2DJX,P,2024-12-20,00396 790,11.7925,1297,172
137,2024-07-01,2DJX,C,2024-12-20,00397 430,13.5953,1296,172
138,2024-07-01,2DJX,P,2024-12-20,00397 430,12.0395,1296,172
139,2024-07-01,2DJX,C,2024-12-20,00397 830,13.3616,517,172
