SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
4SPX,C,2024-07-01,2024-07-02,1,4434.9,1040.748,12
4SPX,C,2024-07-01,2024-07-02,1,4450.38,1025.27,1
4SPX,C,2024-07-01,2024-07-02,1,4450.4,1025.25,8
4SPX,C,2024-07-01,2024-07-02,1,4464.9,1010.752,12
4SPX,C,2024-07-01,2024-07-02,1,4679.1,796.5842,8
4SPX,C,2024-07-01,2024-07-02,1,5090.4,385.3449,2
4SPX,C,2024-07-01,2024-07-02,1,5140.4,335.3522,2
4SPX,P,2024-07-01,2024-07-03,2,3779.8,0.0001,17
4SPX,C,2024-07-01,2024-07-03,2,4440.1,1036.107,17
4SPX,C,2024-07-01,2024-07-03,2,4446.82,1029.389,17
4SPX,C,2024-07-01,2024-07-03,2,4455.6,1020.612,18
4SPX,C,2024-07-01,2024-07-03,2,4470.1,1006.116,17
4SPX,C,2024-07-01,2024-07-03,2,4696.5,779.7835,18
4SPX,C,2024-07-01,2024-07-03,2,5003.56,472.814,17
4SPX,C,2024-07-01,2024-07-03,2,5096.4,380.0014,1
4SPX,C,2024-07-01,2024-07-03,2,5146.4,330.0162,1
4SPX,C,2024-07-01,2024-07-03,2,5329.72,146.8196,4240
4XSP,P,2024-07-01,2024-07-03,2,355.75,0.0001,2
4XSP,P,2024-07-01,2024-07-03,2,411.68,0.0001,13
4XSP,C,2024-07-01,2024-07-03,2,444.68,103.0322,2
4XSP,C,2024-07-01,2024-07-03,2,451.1,96.6141,6
4XSP,C,2024-07-01,2024-07-03,2,460.1,87.6167,6
4XSP,C,2024-07-01,2024-07-03,2,465.43,82.2883,8
4XSP,C,2024-07-01,2024-07-03,2,478.48,69.2422,6
4XSP,C,2024-07-01,2024-07-03,2,530.28,17.4585,2
4SPX,C,2024-07-01,2024-07-05,4,3895.08,1581.923,11
4SPX,C,2024-07-01,2024-07-05,4,4058.28,1418.82,11
4SPX,C,2024-07-01,2024-07-05,4,4387.0,1090.294,1
4SPX,C,2024-07-01,2024-07-05,4,4390.0,1087.295,5
4SPX,C,2024-07-01,2024-07-05,4,4398.95,1078.351,53
4SPX,C,2024-07-01,2024-07-05,4,4399.0,1078.301,17
