SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ-CLOSE,VOLUME
4NDX,C,2024-07-01,2024-07-16,15,19709.65,306.3302,625,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-16,15,23551.69,0.001,625,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-17,16,19951.81,179.3011,678,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-17,16,23844.85,0.0005,678,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-07-19,18,15000.01,4863.311,15,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-07-19,18,16000.01,3.379,20,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-23,22,19902.75,260.4987,121,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,P,2024-07-01,2024-07-23,22,19902.75,277.4808,121,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-23,22,20420.22,72.6351,726,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-23,22,24400.77,0.002,726,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-30,29,19701.13,442.2702,127,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,P,2024-07-01,2024-07-30,29,19701.13,238.7498,127,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-30,29,20233.06,173.3173,762,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
4NDX,C,2024-07-01,2024-07-30,29,24173.29,0.0532,762,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-08-16,46,16000.01,3937.165,18,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-08-16,46,16500.01,3444.003,20,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-08-16,46,19000.01,1091.986,22,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,15276.12,4740.659,17,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,15276.12,17.6829,17,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,15863.1,4167.997,34,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,15863.1,25.0625,34,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,15928.37,4104.551,26,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,15928.37,26.1146,26,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,16614.07,3441.988,112,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,16614.07,41.1465,112,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,16655.85,3401.91,142,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,16655.85,42.3551,142,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,16724.38,3336.273,47,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,16724.38,44.4379,47,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,16797.33,3266.519,31,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,16797.33,46.772,31,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,17304.51,2786.501,87,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,17304.51,67.939,87,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,17393.39,2703.499,164,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,17393.39,72.7658,164,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,17393.75,2703.163,15,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,17393.75,72.7856,15,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,17394.71,2702.267,74,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,17394.71,72.8382,74,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,17977.47,2167.852,40,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,17977.47,114.2955,40,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,C,2024-07-01,2024-09-20,81,18121.04,2039.435,14,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
2NDX,P,2024-07-01,2024-09-20,81,18121.04,127.7509,14,17773.900391,17894.279297,17657.640625,17879.300781,17879.300781,5189990000
