Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,06 21 2024,00391 160,7.6594,2587,04 04 2024
1,2DJX,P,06 21 2024,00391 160,10.0770,2587,04 04 2024
2,2DJX,C,06 21 2024,00392 730,6.8979,12888,04 04 2024
3,2DJX,P,06 21 2024,00392 730,10.8677,12888,04 04 2024
4,2DJX,C,06 21 2024,00392 820,6.8556,8375,04 04 2024
5,2DJX,P,06 21 2024,00392 820,10.9144,8375,04 04 2024
6,2DJX,C,06 21 2024,00393 300,6.6324,3860,04 04 2024
7,2DJX,P,06 21 2024,00393 300,11.1657,3860,04 04 2024
8,2DJX,C,06 21 2024,00393 310,6.6277,643,04 04 2024
9,2DJX,P,06 21 2024,00393 310,11.1710,643,04 04 2024
10,2DJX,C,06 21 2024,00395 130,5.8206,512,04 04 2024
11,2DJX,P,06 21 2024,00395 130,12.1632,512,04 04 2024
12,2DJX,P,08 16 2024,00360 000,3.8134,400,04 04 2024
13,2DJX,C,09 20 2024,00363 890,32.6752,4245,04 04 2024
14,2DJX,P,09 20 2024,00363 890,5.5032,4245,04 04 2024
15,2DJX,C,10 18 2024,00400 010,11.8610,1000,04 04 2024
16,2DJX,C,11 15 2024,00400 010,13.6034,2000,04 04 2024
17,2DJX,C,12 20 2024,00240 470,149.6205,1173,04 04 2024
18,2DJX,P,12 20 2024,00240 470,1.0642,1173,04 04 2024
19,2DJX,C,12 20 2024,00251 150,139.3708,940,04 04 2024
20,2DJX,P,12 20 2024,00251 150,1.1143,940,04 04 2024
21,2DJX,C,12 20 2024,00261 010,129.9537,910,04 04 2024
22,2DJX,P,12 20 2024,00261 010,1.2063,910,04 04 2024
23,2DJX,C,12 20 2024,00262 810,128.2997,360,04 04 2024
24,2DJX,P,12 20 2024,00262 810,1.2881,360,04 04 2024
25,2DJX,C,12 20 2024,00264 120,127.0959,1700,04 04 2024
26,2DJX,P,12 20 2024,00264 120,1.3477,1700,04 04 2024
27,2DJX,C,12 20 2024,00265 310,126.0024,1614,04 04 2024
28,2DJX,P,12 20 2024,00265 310,1.4019,1614,04 04 2024
29,2DJX,C,12 20 2024,00265 890,125.4695,893,04 04 2024
30,2DJX,P,12 20 2024,00265 890,1.4283,893,04 04 2024
31,2DJX,C,12 20 2024,00266 520,124.8906,579,04 04 2024
32,2DJX,P,12 20 2024,00266 520,1.4570,579,04 04 2024
33,2DJX,C,12 20 2024,00268 000,123.5306,1062,04 04 2024
34,2DJX,P,12 20 2024,00268 000,1.5243,1062,04 04 2024
35,2DJX,C,12 20 2024,00270 260,121.4540,1100,04 04 2024
36,2DJX,P,12 20 2024,00270 260,1.6272,1100,04 04 2024
37,2DJX,C,12 20 2024,00270 910,120.8567,2113,04 04 2024
38,2DJX,P,12 20 2024,00270 910,1.6568,2113,04 04 2024
39,2DJX,C,12 20 2024,00271 050,120.7280,1233,04 04 2024
40,2DJX,P,12 20 2024,00271 050,1.6632,1233,04 04 2024
41,2DJX,C,12 20 2024,00271 080,120.7005,528,04 04 2024
42,2DJX,P,12 20 2024,00271 080,1.6645,528,04 04 2024
43,2DJX,C,12 20 2024,00271 750,120.0848,1078,04 04 2024
44,2DJX,P,12 20 2024,00271 750,1.6950,1078,04 04 2024
45,2DJX,C,12 20 2024,00273 520,118.4584,715,04 04 2024
46,2DJX,P,12 20 2024,00273 520,1.7756,715,04 04 2024
47,2DJX,C,12 20 2024,00276 520,115.7018,1721,04 04 2024
48,2DJX,P,12 20 2024,00276 520,1.9122,1721,04 04 2024
49,2DJX,C,12 20 2024,00280 540,112.0080,1738,04 04 2024
50,2DJX,P,12 20 2024,00280 540,2.0953,1738,04 04 2024
51,2DJX,C,12 20 2024,00287 310,105.7872,1334,04 04 2024
52,2DJX,P,12 20 2024,00287 310,2.4035,1334,04 04 2024
53,2DJX,C,12 20 2024,00288 670,104.5375,678,04 04 2024
54,2DJX,P,12 20 2024,00288 670,2.4655,678,04 04 2024
55,2DJX,C,12 20 2024,00291 000,102.3966,1322,04 04 2024
56,2DJX,P,12 20 2024,00291 000,2.5716,1322,04 04 2024
57,2DJX,P,12 20 2024,00301 000,3.0269,950,04 04 2024
58,2DJX,C,12 20 2024,00309 840,85.0852,3408,04 04 2024
59,2DJX,P,12 20 2024,00309 840,3.4295,3408,04 04 2024
60,2DJX,C,12 20 2024,00326 810,69.4920,3080,04 04 2024
61,2DJX,P,12 20 2024,00326 810,4.2023,3080,04 04 2024
62,2DJX,P,12 20 2024,00330 010,4.3480,900,04 04 2024
63,2DJX,C,12 20 2024,00330 670,65.9452,885,04 04 2024
64,2DJX,P,12 20 2024,00330 670,4.3780,885,04 04 2024
65,2DJX,C,12 20 2024,00333 870,63.0048,729,04 04 2024
66,2DJX,P,12 20 2024,00333 870,4.5238,729,04 04 2024
67,2DJX,C,12 20 2024,00336 280,60.7904,868,04 04 2024
68,2DJX,P,12 20 2024,00336 280,4.6335,868,04 04 2024
69,2DJX,C,12 20 2024,00336 400,60.6801,2032,04 04 2024
