   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST   
      2DJX     C   06 21 2024  00391 160      4.4211      2587                                                                                  
      2DJX     P   06 21 2024  00391 160     12.9801      2587                                                                                  
      2DJX     C   06 21 2024  00392 730      3.8485     12888                                                                                  
      2DJX     P   06 21 2024  00392 730     13.9615     12888                                                                                  
      2DJX     C   06 21 2024  00392 820      3.8172      8375                                                                                  
      2DJX     P   06 21 2024  00392 820     14.0192      8375                                                                                  
      2DJX     C   06 21 2024  00393 000      3.7549        79                                                                                  
      2DJX     P   06 21 2024  00393 000     14.1351        79                                                                                  
      2DJX     C   06 21 2024  00393 300      3.6525      3860                                                                                  
      2DJX     P   06 21 2024  00393 300     14.3296      3860                                                                                  
      2DJX     C   06 21 2024  00393 310      3.6491       643                                                                                  
      2DJX     P   06 21 2024  00393 310     14.3361       643                                                                                  
      2DJX     C   06 21 2024  00395 130      3.0722       512                                                                                  
      2DJX     P   06 21 2024  00395 130     15.5606       512                                                                                  
      2DJX     P   08 16 2024  00360 000      4.9982       400                                                                                  
      2DJX     C   09 20 2024  00363 890     28.4545      4245                                                                                  
      2DJX     P   09 20 2024  00363 890      6.7385      4245                                                                                  
      2DJX     C   10 18 2024  00400 010      8.4936      1000                                                                                  
      2DJX     C   11 15 2024  00400 010     10.1894      2000                                                                                  
      2DJX     C   12 20 2024  00240 470    144.7134      1173                                                                                  
      2DJX     P   12 20 2024  00240 470      0.7717      1173                                                                                  
      2DJX     C   12 20 2024  00251 150    134.6290       940                                                                                  
      2DJX     P   12 20 2024  00251 150      0.9904       940                                                                                  
      2DJX     C   12 20 2024  00261 010    125.3272       910                                                                                  
      2DJX     P   12 20 2024  00261 010      1.2008       910                                                                                  
      2DJX     C   12 20 2024  00262 810    123.6422       360                                                                                  
      2DJX     P   12 20 2024  00262 810      1.2522       360                                                                                  
      2DJX     C   12 20 2024  00264 120    122.4171      1700                                                                                  
