,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
0,2DJX,C,06 21 2024,00381 070,8.7031,3957
1,2DJX,P,06 21 2024,00381 070,5.4973,3957
2,2DJX,C,06 21 2024,00384 030,6.9186,5888
3,2DJX,P,06 21 2024,00384 030,6.6486,5888
4,2DJX,C,06 21 2024,00384 380,6.7201,654
5,2DJX,P,06 21 2024,00384 380,6.7972,654
6,2DJX,C,06 21 2024,00386 640,5.5469,1682
7,2DJX,P,06 21 2024,00386 640,7.8655,1682
8,2DJX,C,06 21 2024,00391 160,3.5965,2587
9,2DJX,P,06 21 2024,00391 160,10.3981,2587
10,2DJX,C,06 21 2024,00392 730,3.0344,12888
11,2DJX,P,06 21 2024,00392 730,11.3930,12888
12,2DJX,C,06 21 2024,00392 820,3.0039,8375
13,2DJX,P,06 21 2024,00392 820,11.4519,8375
14,2DJX,C,06 21 2024,00393 000,2.9436,79
15,2DJX,P,06 21 2024,00393 000,11.5701,79
16,2DJX,C,06 21 2024,00393 300,2.8448,3860
17,2DJX,P,06 21 2024,00393 300,11.7688,3860
18,2DJX,C,06 21 2024,00393 310,2.8416,643
19,2DJX,P,06 21 2024,00393 310,11.7755,643
20,2DJX,C,06 21 2024,00395 130,2.2914,512
21,2DJX,P,06 21 2024,00395 130,13.0304,512
22,2DJX,P,08 16 2024,00360 000,3.0325,400
23,2DJX,C,09 20 2024,00363 890,28.3393,4245
24,2DJX,P,09 20 2024,00363 890,4.4920,4245
25,2DJX,C,10 18 2024,00400 010,7.5339,1000
26,2DJX,C,11 15 2024,00400 010,9.2987,2000
27,2DJX,C,12 20 2024,00240 470,146.8002,1173
28,2DJX,P,12 20 2024,00240 470,0.3289,1173
29,2DJX,C,12 20 2024,00251 150,136.6947,940
30,2DJX,P,12 20 2024,00251 150,0.5436,940
31,2DJX,C,12 20 2024,00261 010,127.3823,910
32,2DJX,P,12 20 2024,00261 010,0.7591,910
33,2DJX,C,12 20 2024,00262 810,125.6823,360
34,2DJX,P,12 20 2024,00262 810,0.7984,360
35,2DJX,C,12 20 2024,00264 120,124.4450,1700
36,2DJX,P,12 20 2024,00264 120,0.8271,1700
37,2DJX,C,12 20 2024,00265 310,123.3211,1614
38,2DJX,P,12 20 2024,00265 310,0.8531,1614
39,2DJX,C,12 20 2024,00265 890,122.7734,893
40,2DJX,P,12 20 2024,00265 890,0.8658,893
41,2DJX,C,12 20 2024,00266 520,122.1783,579
42,2DJX,P,12 20 2024,00266 520,0.8795,579
43,2DJX,C,12 20 2024,00268 000,120.7806,1062
44,2DJX,P,12 20 2024,00268 000,0.9119,1062
45,2DJX,C,12 20 2024,00270 260,118.6461,1100
46,2DJX,P,12 20 2024,00270 260,0.9613,1100
47,2DJX,C,12 20 2024,00270 910,118.0322,2113
48,2DJX,P,12 20 2024,00270 910,0.9755,2113
49,2DJX,C,12 20 2024,00271 050,117.9000,1233
50,2DJX,P,12 20 2024,00271 050,0.9786,1233
51,2DJX,C,12 20 2024,00271 080,117.8717,528
52,2DJX,P,12 20 2024,00271 080,0.9792,528
53,2DJX,C,12 20 2024,00271 750,117.2389,1078
54,2DJX,P,12 20 2024,00271 750,0.9939,1078
55,2DJX,C,12 20 2024,00273 520,115.5672,715
56,2DJX,P,12 20 2024,00273 520,1.0326,715
57,2DJX,C,12 20 2024,00276 520,112.7339,1721
58,2DJX,P,12 20 2024,00276 520,1.0983,1721
59,2DJX,C,12 20 2024,00280 540,108.9381,1738
60,2DJX,P,12 20 2024,00280 540,1.1870,1738
61,2DJX,C,12 20 2024,00287 310,102.5601,1334
62,2DJX,P,12 20 2024,00287 310,1.3510,1334
63,2DJX,C,12 20 2024,00288 670,101.2829,678
64,2DJX,P,12 20 2024,00288 670,1.3880,678
65,2DJX,C,12 20 2024,00291 000,99.0956,1322
66,2DJX,P,12 20 2024,00291 000,1.4521,1322
67,2DJX,P,12 20 2024,00301 000,1.7710,950
68,2DJX,C,12 20 2024,00309 840,81.5441,3408
69,2DJX,P,12 20 2024,00309 840,2.1060,3408
70,2DJX,C,12 20 2024,00326 810,66.0236,3080
71,2DJX,P,12 20 2024,00326 810,2.9839,3080
72,2DJX,P,12 20 2024,00330 010,3.1957,900
73,2DJX,C,12 20 2024,00330 670,62.5527,885
74,2DJX,P,12 20 2024,00330 670,3.2430,885
75,2DJX,C,12 20 2024,00333 870,59.6993,729
76,2DJX,P,12 20 2024,00333 870,3.4818,729
77,2DJX,C,12 20 2024,00336 280,57.5691,868
78,2DJX,P,12 20 2024,00336 280,3.6804,868
79,2DJX,C,12 20 2024,00336 400,57.4637,2032
80,2DJX,P,12 20 2024,00336 400,3.6910,2032
81,2DJX,C,12 20 2024,00338 520,55.6058,1010
82,2DJX,P,12 20 2024,00338 520,3.8816,1010
83,2DJX,C,12 20 2024,00338 660,55.4832,575
84,2DJX,P,12 20 2024,00338 660,3.8943,575
85,2DJX,C,12 20 2024,00341 460,53.0313,2306
86,2DJX,P,12 20 2024,00341 460,4.1481,2306
87,2DJX,C,12 20 2024,00344 660,50.2335,733
88,2DJX,P,12 20 2024,00344 660,4.4426,733
89,2DJX,C,12 20 2024,00345 610,49.4146,1824
90,2DJX,P,12 20 2024,00345 610,4.5416,1824
91,2DJX,C,12 20 2024,00346 520,48.6365,1499
92,2DJX,P,12 20 2024,00346 520,4.6428,1499
93,2DJX,C,12 20 2024,00347 160,48.0905,1512
94,2DJX,P,12 20 2024,00347 160,4.7153,1512
95,2DJX,C,12 20 2024,00347 610,47.7072,1537
96,2DJX,P,12 20 2024,00347 610,4.7669,1537
97,2DJX,C,12 20 2024,00347 700,47.6306,615
98,2DJX,P,12 20 2024,00347 700,4.7772,615
99,2DJX,C,12 20 2024,00348 050,47.3330,306
100,2DJX,P,12 20 2024,00348 050,4.8178,306
101,2DJX,C,12 20 2024,00349 410,46.1796,763
102,2DJX,P,12 20 2024,00349 410,4.9786,763
103,2DJX,C,12 20 2024,00349 790,45.8583,2131
104,2DJX,P,12 20 2024,00349 790,5.0245,2131
105,2DJX,C,12 20 2024,00350 010,45.6725,1450
106,2DJX,C,12 20 2024,00350 550,45.2198,1405
107,2DJX,P,12 20 2024,00350 550,5.1204,1405
108,2DJX,C,12 20 2024,00351 740,44.2253,4451
109,2DJX,P,12 20 2024,00351 740,5.2758,4451
110,2DJX,C,12 20 2024,00351 800,44.1753,7419
111,2DJX,P,12 20 2024,00351 800,5.2838,7419
112,2DJX,C,12 20 2024,00351 900,44.0919,1491
113,2DJX,P,12 20 2024,00351 900,5.2971,1491
114,2DJX,C,12 20 2024,00353 040,43.1440,5912
115,2DJX,P,12 20 2024,00353 040,5.4508,5912
116,2DJX,C,12 20 2024,00353 210,43.0030,5911
