,"SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE"
0,"2DJX,C,06 21 2024,00391 160,13.0784,2587,04/01/2024"
1,"2DJX,P,06 21 2024,00391 160,5.2457,2587,04/01/2024"
2,"2DJX,C,06 21 2024,00392 730,11.9397,12888,04/01/2024"
3,"2DJX,P,06 21 2024,00392 730,5.6585,12888,04/01/2024"
4,"2DJX,C,06 21 2024,00392 820,11.8754,8375,04/01/2024"
5,"2DJX,P,06 21 2024,00392 820,5.6831,8375,04/01/2024"
6,"2DJX,C,06 21 2024,00393 300,11.5342,3860,04/01/2024"
7,"2DJX,P,06 21 2024,00393 300,5.8163,3860,04/01/2024"
8,"2DJX,C,06 21 2024,00393 310,11.5271,643,04/01/2024"
9,"2DJX,P,06 21 2024,00393 310,5.8191,643,04/01/2024"
10,"2DJX,C,06 21 2024,00395 130,10.2702,512,04/01/2024"
11,"2DJX,P,06 21 2024,00395 130,6.3607,512,04/01/2024"
12,"2DJX,P,08 16 2024,00360 000,2.3615,400,04/01/2024"
13,"2DJX,C,09 20 2024,00363 890,41.4315,4245,04/01/2024"
14,"2DJX,P,09 20 2024,00363 890,3.4396,4245,04/01/2024"
15,"2DJX,C,10 18 2024,00400 010,16.3452,1000,04/01/2024"
16,"2DJX,C,11 15 2024,00400 010,18.2965,2000,04/01/2024"
17,"2DJX,C,12 20 2024,00240 470,160.7367,1173,04/01/2024"
18,"2DJX,P,12 20 2024,00240 470,0.6181,1173,04/01/2024"
19,"2DJX,C,12 20 2024,00251 150,150.6205,940,04/01/2024"
20,"2DJX,P,12 20 2024,00251 150,0.793,940,04/01/2024"
21,"2DJX,C,12 20 2024,00261 010,141.2875,910,04/01/2024"
22,"2DJX,P,12 20 2024,00261 010,0.9611,910,04/01/2024"
23,"2DJX,C,12 20 2024,00262 810,139.5933,360,04/01/2024"
24,"2DJX,P,12 20 2024,00262 810,1.0013,360,04/01/2024"
25,"2DJX,C,12 20 2024,00264 120,138.3603,1700,04/01/2024"
