Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,06 21 2024,00381 070,6.5243,3957,05 01 2024
1,2DJX,P,06 21 2024,00381 070,6.7800,3957,05 01 2024
2,2DJX,C,06 21 2024,00384 030,4.9837,5888,05 01 2024
3,2DJX,P,06 21 2024,00384 030,8.1773,5888,05 01 2024
4,2DJX,C,06 21 2024,00384 070,4.9643,1962,05 01 2024
5,2DJX,P,06 21 2024,00384 070,8.1976,1962,05 01 2024
6,2DJX,C,06 21 2024,00384 380,4.8155,654,05 01 2024
7,2DJX,P,06 21 2024,00384 380,8.3565,654,05 01 2024
8,2DJX,C,06 21 2024,00386 640,3.8421,1682,05 01 2024
9,2DJX,P,06 21 2024,00386 640,9.6262,1682,05 01 2024
10,2DJX,C,06 21 2024,00391 160,2.3134,2587,05 01 2024
11,2DJX,P,06 21 2024,00391 160,12.5837,2587,05 01 2024
12,2DJX,C,06 21 2024,00392 730,1.9061,12888,05 01 2024
13,2DJX,P,06 21 2024,00392 730,13.7346,12888,05 01 2024
14,2DJX,C,06 21 2024,00392 820,1.8844,8375,05 01 2024
15,2DJX,P,06 21 2024,00392 820,13.8023,8375,05 01 2024
16,2DJX,C,06 21 2024,00393 000,1.8414,79,05 01 2024
17,2DJX,P,06 21 2024,00393 000,13.9380,79,05 01 2024
18,2DJX,C,06 21 2024,00393 300,1.7715,3860,05 01 2024
19,2DJX,P,06 21 2024,00393 300,14.1658,3860,05 01 2024
20,2DJX,C,06 21 2024,00393 310,1.7692,643,05 01 2024
21,2DJX,P,06 21 2024,00393 310,14.1734,643,05 01 2024
22,2DJX,C,06 21 2024,00395 130,1.3877,512,05 01 2024
23,2DJX,P,06 21 2024,00395 130,15.5983,512,05 01 2024
24,2DJX,P,08 16 2024,00360 000,3.6560,400,05 01 2024
25,2DJX,C,09 20 2024,00363 890,25.5752,4245,05 01 2024
26,2DJX,P,09 20 2024,00363 890,5.4226,4245,05 01 2024
27,2DJX,C,10 18 2024,00400 010,6.2968,1000,05 01 2024
28,2DJX,C,11 15 2024,00400 010,8.0003,2000,05 01 2024
29,2DJX,C,12 20 2024,00240 470,143.5997,1173,05 01 2024
30,2DJX,P,12 20 2024,00240 470,0.9332,1173,05 01 2024
31,2DJX,C,12 20 2024,00251 150,133.4879,940,05 01 2024
32,2DJX,P,12 20 2024,00251 150,1.1481,940,05 01 2024
33,2DJX,C,12 20 2024,00261 010,124.1525,910,05 01 2024
34,2DJX,P,12 20 2024,00261 010,1.3466,910,05 01 2024
35,2DJX,C,12 20 2024,00262 810,122.4483,360,05 01 2024
