,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
0,2DJX,C,06 21 2024,00381 070,15.9479,3957
1,2DJX,P,06 21 2024,00381 070,1.4869,3957
2,2DJX,C,06 21 2024,00384 030,13.3658,5888
3,2DJX,P,06 21 2024,00384 030,1.8478,5888
4,2DJX,C,06 21 2024,00384 070,13.3315,1962
5,2DJX,P,06 21 2024,00384 070,1.8533,1962
6,2DJX,C,06 21 2024,00384 380,13.0661,654
7,2DJX,P,06 21 2024,00384 380,1.8962,654
8,2DJX,C,06 21 2024,00386 640,11.2667,1682
9,2DJX,P,06 21 2024,00386 640,2.3438,1682
10,2DJX,C,06 21 2024,00390 100,8.7626,1286
11,2DJX,P,06 21 2024,00390 100,3.2799,1286
12,2DJX,C,06 21 2024,00390 500,8.4868,900
13,2DJX,P,06 21 2024,00390 500,3.4019,900
14,2DJX,C,06 21 2024,00391 160,8.0401,2587
15,2DJX,P,06 21 2024,00391 160,3.6113,2587
16,2DJX,C,06 21 2024,00392 730,7.0204,12888
17,2DJX,P,06 21 2024,00392 730,4.1527,12888
18,2DJX,C,06 21 2024,00392 820,6.9639,8375
19,2DJX,P,06 21 2024,00392 820,4.1856,8375
20,2DJX,C,06 21 2024,00393 000,6.8514,79
21,2DJX,P,06 21 2024,00393 000,4.2521,79
22,2DJX,C,06 21 2024,00393 300,6.6659,3860
23,2DJX,P,06 21 2024,00393 300,4.3649,3860
24,2DJX,C,06 21 2024,00393 310,6.6597,643
25,2DJX,P,06 21 2024,00393 310,4.3687,643
26,2DJX,C,06 21 2024,00395 130,5.5880,512
27,2DJX,P,06 21 2024,00395 130,5.1065,512
28,2DJX,C,06 21 2024,00397 000,4.5962,285
29,2DJX,P,06 21 2024,00397 000,5.9741,285
30,2DJX,P,08 16 2024,00360 000,1.4561,400
31,2DJX,C,09 20 2024,00363 890,37.4775,4245
32,2DJX,P,09 20 2024,00363 890,2.5027,4245
33,2DJX,C,10 18 2024,00400 010,12.3359,1000
34,2DJX,C,11 15 2024,00400 000,14.3874,500
35,2DJX,C,11 15 2024,00400 010,14.3815,2000
36,2DJX,C,12 20 2024,00240 470,158.1151,1173
37,2DJX,P,12 20 2024,00240 470,0.1877,1173
38,2DJX,C,12 20 2024,00251 150,147.8762,940
39,2DJX,P,12 20 2024,00251 150,0.2951,940
40,2DJX,C,12 20 2024,00261 010,138.4682,910
41,2DJX,P,12 20 2024,00261 010,0.4387,910
42,2DJX,C,12 20 2024,00262 810,136.7570,360
43,2DJX,P,12 20 2024,00262 810,0.4713,360
44,2DJX,C,12 20 2024,00264 120,135.5117,1700
45,2DJX,P,12 20 2024,00264 120,0.4950,1700
46,2DJX,C,12 20 2024,00265 310,134.3804,1614
47,2DJX,P,12 20 2024,00265 310,0.5166,1614
48,2DJX,C,12 20 2024,00265 890,133.8291,893
49,2DJX,P,12 20 2024,00265 890,0.5271,893
50,2DJX,C,12 20 2024,00266 520,133.2302,579
51,2DJX,P,12 20 2024,00266 520,0.5385,579
52,2DJX,C,12 20 2024,00268 000,131.8233,1062
53,2DJX,P,12 20 2024,00268 000,0.5653,1062
54,2DJX,C,12 20 2024,00270 260,129.6749,1100
55,2DJX,P,12 20 2024,00270 260,0.6063,1100
56,2DJX,C,12 20 2024,00270 910,129.0570,2113
57,2DJX,P,12 20 2024,00270 910,0.6181,2113
58,2DJX,C,12 20 2024,00271 050,128.9239,1233
59,2DJX,P,12 20 2024,00271 050,0.6206,1233
60,2DJX,C,12 20 2024,00271 080,128.8954,528
61,2DJX,P,12 20 2024,00271 080,0.6212,528
62,2DJX,C,12 20 2024,00271 750,128.2585,1078
63,2DJX,P,12 20 2024,00271 750,0.6333,1078
64,2DJX,C,12 20 2024,00273 520,126.5759,715
65,2DJX,P,12 20 2024,00273 520,0.6654,715
66,2DJX,C,12 20 2024,00276 520,123.7241,1721
67,2DJX,P,12 20 2024,00276 520,0.7198,1721
68,2DJX,C,12 20 2024,00280 540,119.9027,1738
69,2DJX,P,12 20 2024,00280 540,0.7928,1738
70,2DJX,C,12 20 2024,00287 310,113.4672,1334
71,2DJX,P,12 20 2024,00287 310,0.9156,1334
72,2DJX,C,12 20 2024,00288 670,112.1745,678
73,2DJX,P,12 20 2024,00288 670,0.9404,678
74,2DJX,C,12 20 2024,00291 000,109.9603,1322
75,2DJX,P,12 20 2024,00291 000,0.9834,1322
76,2DJX,P,12 20 2024,00301 000,1.1726,950
77,2DJX,C,12 20 2024,00309 840,92.0919,3408
78,2DJX,P,12 20 2024,00309 840,1.3660,3408
79,2DJX,C,12 20 2024,00326 810,76.2009,3080
80,2DJX,P,12 20 2024,00326 810,1.9145,3080
81,2DJX,P,12 20 2024,00330 010,2.0623,900
82,2DJX,C,12 20 2024,00330 670,72.6398,885
83,2DJX,P,12 20 2024,00330 670,2.0928,885
84,2DJX,C,12 20 2024,00333 870,69.6902,729
85,2DJX,P,12 20 2024,00333 870,2.2431,729
86,2DJX,C,12 20 2024,00336 280,67.4694,868
87,2DJX,P,12 20 2024,00336 280,2.3570,868
88,2DJX,C,12 20 2024,00336 400,67.3588,2032
89,2DJX,P,12 20 2024,00336 400,2.3627,2032
90,2DJX,C,12 20 2024,00338 520,65.4053,1010
91,2DJX,P,12 20 2024,00338 520,2.4629,1010
92,2DJX,C,12 20 2024,00338 660,65.2764,575
93,2DJX,P,12 20 2024,00338 660,2.4695,575
94,2DJX,C,12 20 2024,00341 460,62.7217,2306
95,2DJX,P,12 20 2024,00341 460,2.6274,2306
96,2DJX,C,12 20 2024,00344 660,59.8357,733
97,2DJX,P,12 20 2024,00344 660,2.8413,733
98,2DJX,C,12 20 2024,00345 610,58.9847,1824
99,2DJX,P,12 20 2024,00345 610,2.9106,1824
100,2DJX,C,12 20 2024,00346 520,58.1725,1499
101,2DJX,P,12 20 2024,00346 520,2.9800,1499
102,2DJX,C,12 20 2024,00347 160,57.6023,1512
103,2DJX,P,12 20 2024,00347 160,3.0297,1512
104,2DJX,C,12 20 2024,00347 610,57.2017,1537
105,2DJX,P,12 20 2024,00347 610,3.0651,1537
106,2DJX,C,12 20 2024,00347 700,57.1217,615
107,2DJX,P,12 20 2024,00347 700,3.0723,615
108,2DJX,C,12 20 2024,00348 050,56.8105,306
109,2DJX,P,12 20 2024,00348 050,3.1002,306
110,2DJX,C,12 20 2024,00349 410,55.6037,763
111,2DJX,P,12 20 2024,00349 410,3.2108,763
112,2DJX,C,12 20 2024,00349 790,55.2672,2131
113,2DJX,P,12 20 2024,00349 790,3.2424,2131
114,2DJX,C,12 20 2024,00350 010,55.0725,1450
115,2DJX,C,12 20 2024,00350 550,54.5988,1405
116,2DJX,P,12 20 2024,00350 550,3.3103,1405
117,2DJX,C,12 20 2024,00351 740,53.5574,4451
118,2DJX,P,12 20 2024,00351 740,3.4217,4451
119,2DJX,C,12 20 2024,00351 800,53.5049,7419
120,2DJX,P,12 20 2024,00351 800,3.4274,7419
121,2DJX,C,12 20 2024,00351 900,53.4176,1491
122,2DJX,P,12 20 2024,00351 900,3.4369,1491
123,2DJX,C,12 20 2024,00353 040,52.4237,5912
124,2DJX,P,12 20 2024,00353 040,3.5473,5912
125,2DJX,C,12 20 2024,00353 210,52.2757,5911
126,2DJX,P,12 20 2024,00353 210,3.5641,5911
127,2DJX,C,12 20 2024,00355 460,50.3230,2922
128,2DJX,P,12 20 2024,00355 460,3.7910,2922
129,2DJX,C,12 20 2024,00355 580,50.2189,1474
130,2DJX,P,12 20 2024,00355 580,3.8031,1474
131,2DJX,C,12 20 2024,00356 360,49.5427,1180
132,2DJX,P,12 20 2024,00356 360,3.8826,1180
133,2DJX,C,12 20 2024,00359 140,47.1460,2930
134,2DJX,P,12 20 2024,00359 140,4.1790,2930
135,2DJX,C,12 20 2024,00359 160,47.1289,3660
136,2DJX,P,12 20 2024,00359 160,4.1812,3660
137,2DJX,C,12 20 2024,00369 260,38.6750,855
138,2DJX,P,12 20 2024,00369 260,5.5116,855
139,2DJX,C,12 20 2024,00374 800,34.2833,2768
140,2DJX,P,12 20 2024,00374 800,6.4867,2768
141,2DJX,C,12 20 2024,00374 910,34.1976,2768
142,2DJX,P,12 20 2024,00374 910,6.5076,2768
143,2DJX,C,12 20 2024,00375 040,34.0964,6229
144,2DJX,P,12 20 2024,00375 040,6.5324,6229
145,2DJX,C,12 20 2024,00380 850,29.6168,2719
146,2DJX,P,12 20 2024,00380 850,7.6811,2719
147,2DJX,C,12 20 2024,00383 340,27.7587,4838
148,2DJX,P,12 20 2024,00383 340,8.2352,4838
149,2DJX,C,12 20 2024,00385 640,26.0957,1342
150,2DJX,P,12 20 2024,00385 640,8.8002,1342
151,2DJX,C,12 20 2024,00391 600,22.0488,5888
152,2DJX,P,12 20 2024,00391 600,10.5270,5888
153,2DJX,C,12 20 2024,00394 630,20.0209,2600
154,2DJX,P,12 20 2024,00394 630,11.4344,2600
155,2DJX,C,12 20 2024,00396 790,18.6808,1297
156,2DJX,P,12 20 2024,00396 790,12.1868,1297
157,2DJX,C,12 20 2024,00397 430,18.2953,1296
158,2DJX,P,12 20 2024,00397 430,12.4213,1296
159,2DJX,C,12 20 2024,00397 830,18.0562,517
160,2DJX,P,12 20 2024,00397 830,12.5697,517
161,2DJX,C,12 20 2024,00399 000,17.3664,1935
162,2DJX,P,12 20 2024,00399 000,13.0133,1935
163,2DJX,C,12 20 2024,00399 510,17.0681,3092
164,2DJX,P,12 20 2024,00399 510,13.2091,3092
165,2DJX,C,12 20 2024,00399 530,17.0564,5156
166,2DJX,P,12 20 2024,00399 530,13.2167,5156
167,2DJX,C,12 20 2024,00399 730,16.9394,4777
168,2DJX,P,12 20 2024,00399 730,13.2935,4777
169,2DJX,C,12 20 2024,00400 010,16.7756,1000
170,2DJX,C,12 20 2024,00400 700,16.3720,4114
171,2DJX,P,12 20 2024,00400 700,13.6658,4114
172,2DJX,C,12 20 2024,00402 530,15.3084,512
173,2DJX,P,12 20 2024,00402 530,14.3750,512
174,2DJX,C,12 20 2024,00420 010,7.2215,825
175,2DJX,C,01 17 2025,00400 000,18.4778,600
176,2DJX,C,12 19 2025,00258 950,148.6319,4024
177,2DJX,P,12 19 2025,00258 950,2.3599,4024
178,2DJX,C,12 19 2025,00291 590,119.5466,983
179,2DJX,P,12 19 2025,00291 590,3.4799,983
180,2DJX,C,12 19 2025,00299 210,112.8885,1285
181,2DJX,P,12 19 2025,00299 210,3.8734,1285
182,2DJX,P,12 19 2025,00310 010,4.5795,600
183,2DJX,C,12 19 2025,00322 580,93.2279,822
184,2DJX,P,12 19 2025,00322 580,5.8394,822
185,2DJX,C,12 19 2025,00330 070,87.0854,596
186,2DJX,P,12 19 2025,00330 070,6.6282,596
187,2DJX,C,12 19 2025,00331 060,86.2735,592
188,2DJX,P,12 19 2025,00331 060,6.7325,592
189,2DJX,C,12 19 2025,00331 670,85.7732,614
190,2DJX,P,12 19 2025,00331 670,6.7967,614
191,2DJX,C,12 19 2025,00334 600,83.3706,587
192,2DJX,P,12 19 2025,00334 600,7.1056,587
193,2DJX,C,12 19 2025,00334 610,83.3624,587
194,2DJX,P,12 19 2025,00334 610,7.1066,587
195,2DJX,C,12 19 2025,00336 260,82.0247,3333
196,2DJX,P,12 19 2025,00336 260,7.2958,3333
197,2DJX,C,12 19 2025,00336 300,81.9924,291
198,2DJX,P,12 19 2025,00336 300,7.3005,291
199,2DJX,C,12 19 2025,00340 560,78.5743,1428
200,2DJX,P,12 19 2025,00340 560,7.8246,1428
201,2DJX,C,12 19 2025,00341 180,78.0866,1716
202,2DJX,P,12 19 2025,00341 180,7.9107,1716
203,2DJX,C,12 19 2025,00342 030,77.4193,1431
204,2DJX,P,12 19 2025,00342 030,8.0300,1431
205,2DJX,C,12 19 2025,00342 230,77.2627,576
206,2DJX,P,12 19 2025,00342 230,8.0585,576
207,2DJX,C,12 19 2025,00346 190,74.1620,1410
208,2DJX,P,12 19 2025,00346 190,8.6223,1410
209,2DJX,C,12 19 2025,00347 240,73.3398,1434
210,2DJX,P,12 19 2025,00347 240,8.7719,1434
211,2DJX,C,12 19 2025,00347 320,73.2772,1004
212,2DJX,P,12 19 2025,00347 320,8.7832,1004
213,2DJX,C,12 19 2025,00356 070,66.6273,1407
214,2DJX,P,12 19 2025,00356 070,10.2307,1407
215,2DJX,C,12 19 2025,00356 170,66.5520,758
216,2DJX,P,12 19 2025,00356 170,10.2479,758
217,2DJX,C,12 19 2025,00356 610,66.2208,418
218,2DJX,P,12 19 2025,00356 610,10.3239,418
219,2DJX,C,12 19 2025,00358 970,64.4531,700
220,2DJX,P,12 19 2025,00358 970,10.7401,700
221,2DJX,C,12 19 2025,00359 500,64.0576,420
222,2DJX,P,12 19 2025,00359 500,10.8352,420
223,2DJX,C,12 19 2025,00360 320,63.4459,9620
224,2DJX,P,12 19 2025,00360 320,10.9822,9620
225,2DJX,C,12 19 2025,00362 300,61.9686,295
226,2DJX,P,12 19 2025,00362 300,11.3373,295
227,2DJX,C,12 19 2025,00362 640,61.7158,442
228,2DJX,P,12 19 2025,00362 640,11.3991,442
229,2DJX,C,12 19 2025,00362 760,61.6267,1184
230,2DJX,P,12 19 2025,00362 760,11.4211,1184
231,2DJX,C,12 19 2025,00363 110,61.3670,3670
232,2DJX,P,12 19 2025,00363 110,11.4852,3670
233,2DJX,C,12 19 2025,00363 240,61.2706,2936
234,2DJX,P,12 19 2025,00363 240,11.5091,2936
235,2DJX,C,12 19 2025,00363 910,60.7744,862
236,2DJX,P,12 19 2025,00363 910,11.6330,862
237,2DJX,C,12 19 2025,00365 360,59.7047,1327
238,2DJX,P,12 19 2025,00365 360,11.9051,1327
239,2DJX,C,12 19 2025,00365 420,59.6605,3408
240,2DJX,P,12 19 2025,00365 420,11.9164,3408
241,2DJX,C,12 19 2025,00367 190,58.3624,862
242,2DJX,P,12 19 2025,00367 190,12.2563,862
243,2DJX,C,12 19 2025,00368 310,57.5452,1764
244,2DJX,P,12 19 2025,00368 310,12.4756,1764
245,2DJX,C,12 19 2025,00369 840,56.4344,284
246,2DJX,P,12 19 2025,00369 840,12.7806,284
247,2DJX,C,12 19 2025,00370 000,56.3186,1250
248,2DJX,C,12 19 2025,00370 150,56.2101,853
249,2DJX,P,12 19 2025,00370 150,12.8432,853
250,2DJX,C,12 19 2025,00371 880,54.9634,717
251,2DJX,P,12 19 2025,00371 880,13.1974,717
252,2DJX,C,12 19 2025,00377 430,51.0212,1981
253,2DJX,P,12 19 2025,00377 430,14.3913,1981
254,2DJX,C,12 19 2025,00396 770,38.2211,1067
255,2DJX,P,12 19 2025,00396 770,19.4885,1067
256,2DJX,C,12 19 2025,00405 190,33.1396,1302
257,2DJX,P,12 19 2025,00405 190,22.1988,1302
258,2DJX,C,12 19 2025,00405 270,33.0930,1302
259,2DJX,P,12 19 2025,00405 270,22.2263,1302
260,2DJX,C,12 19 2025,00408 100,31.4636,1942
261,2DJX,P,12 19 2025,00408 100,23.2159,1942
262,2DJX,C,12 19 2025,00408 930,30.9925,4909
263,2DJX,P,12 19 2025,00408 930,23.5128,4909
264,2DJX,C,12 19 2025,00409 600,30.6144,2587
265,2DJX,P,12 19 2025,00409 600,23.7547,2587
266,2DJX,C,12 19 2025,00409 730,30.5411,2579
267,2DJX,P,12 19 2025,00409 730,23.8017,2579
268,2DJX,C,12 19 2025,00409 740,30.5354,1935
269,2DJX,P,12 19 2025,00409 740,23.8053,1935
270,2DJX,C,12 19 2025,00410 470,30.1237,3092
271,2DJX,P,12 19 2025,00410 470,24.0691,3092
272,2DJX,C,12 19 2025,00411 290,29.6621,1286
273,2DJX,P,12 19 2025,00411 290,24.3664,1286
274,2DJX,C,06 18 2026,00400 000,44.3203,250
275,2DJX,C,06 18 2026,00420 000,32.9920,250
276,2DJX,C,12 18 2026,00332 330,97.4668,2350
277,2DJX,P,12 18 2026,00332 330,10.7527,2350
278,2DJX,C,12 18 2026,00333 160,96.8471,986
279,2DJX,P,12 18 2026,00333 160,10.8707,986
280,2DJX,C,12 18 2026,00339 950,91.8094,870
281,2DJX,P,12 18 2026,00339 950,11.8674,870
282,2DJX,C,12 18 2026,00341 950,90.3466,1296
283,2DJX,P,12 18 2026,00341 950,12.1820,1296
284,2DJX,C,12 18 2026,00344 600,88.4189,791
285,2DJX,P,12 18 2026,00344 600,12.6094,791
286,2DJX,C,12 18 2026,00347 610,86.2348,864
287,2DJX,P,12 18 2026,00347 610,13.1004,864
288,2DJX,C,12 18 2026,00348 500,85.5915,1180
289,2DJX,P,12 18 2026,00348 500,13.2481,1180
290,2DJX,C,12 18 2026,00353 120,82.2783,991
291,2DJX,P,12 18 2026,00353 120,14.0408,991
292,2DJX,C,12 18 2026,00353 140,82.2640,288
293,2DJX,P,12 18 2026,00353 140,14.0443,288
294,2DJX,C,12 18 2026,00353 860,81.7514,710
295,2DJX,P,12 18 2026,00353 860,14.1716,710
296,2DJX,C,12 18 2026,00354 490,81.3037,3579
297,2DJX,P,12 18 2026,00354 490,14.2837,3579
298,2DJX,C,12 18 2026,00358 900,78.2125,281
299,2DJX,P,12 18 2026,00358 900,15.1118,281
300,2DJX,C,12 18 2026,00358 970,78.1638,561
301,2DJX,P,12 18 2026,00358 970,15.1253,561
302,2DJX,C,12 18 2026,00359 340,77.9065,749
303,2DJX,P,12 18 2026,00359 340,15.1968,749
304,2DJX,C,12 18 2026,00359 470,77.8161,701
305,2DJX,P,12 18 2026,00359 470,15.2220,701
306,2DJX,C,12 18 2026,00359 670,77.6772,1211
307,2DJX,P,12 18 2026,00359 670,15.2608,1211
