,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
0,2DJX,C,06 21 2024,00381 070,19.9943,3957
1,2DJX,P,06 21 2024,00381 070,0.7156,3957
2,2DJX,C,06 21 2024,00384 030,17.2308,5888
3,2DJX,P,06 21 2024,00384 030,0.8961,5888
4,2DJX,C,06 21 2024,00384 070,17.1938,1962
5,2DJX,P,06 21 2024,00384 070,0.8988,1962
6,2DJX,C,06 21 2024,00384 380,16.9070,654
7,2DJX,P,06 21 2024,00384 380,0.9203,654
8,2DJX,C,06 21 2024,00386 640,14.8652,1682
9,2DJX,P,06 21 2024,00386 640,1.1263,1682
10,2DJX,C,06 21 2024,00390 100,11.8591,1286
11,2DJX,P,06 21 2024,00390 100,1.5614,1286
12,2DJX,C,06 21 2024,00390 500,11.5283,900
13,2DJX,P,06 21 2024,00390 500,1.6285,900
14,2DJX,C,06 21 2024,00391 160,10.9885,2587
15,2DJX,P,06 21 2024,00391 160,1.7450,2587
16,2DJX,C,06 21 2024,00392 730,9.7360,12888
17,2DJX,P,06 21 2024,00392 730,2.0540,12888
18,2DJX,C,06 21 2024,00392 820,9.6657,8375
19,2DJX,P,06 21 2024,00392 820,2.0732,8375
20,2DJX,C,06 21 2024,00393 000,9.5254,79
21,2DJX,P,06 21 2024,00393 000,2.1120,79
22,2DJX,C,06 21 2024,00393 300,9.2932,3860
23,2DJX,P,06 21 2024,00393 300,2.1781,3860
24,2DJX,C,06 21 2024,00393 310,9.2855,643
25,2DJX,P,06 21 2024,00393 310,2.1804,643
26,2DJX,C,06 21 2024,00395 130,7.9223,512
27,2DJX,P,06 21 2024,00395 130,2.6273,512
28,2DJX,C,06 21 2024,00397 000,6.6500,285
29,2DJX,P,06 21 2024,00397 000,3.2148,285
30,2DJX,P,08 16 2024,00360 000,1.0295,400
31,2DJX,C,09 20 2024,00363 890,41.4894,4245
32,2DJX,P,09 20 2024,00363 890,1.8658,4245
33,2DJX,C,10 18 2024,00400 010,14.6406,1000
