   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST   
      2DJX     C   06 21 2024  00381 070     12.1854      3957                                                                                  
      2DJX     P   06 21 2024  00381 070      1.4642      3957                                                                                  
      2DJX     C   06 21 2024  00384 030      9.7406      5888                                                                                  
      2DJX     P   06 21 2024  00384 030      1.9668      5888                                                                                  
      2DJX     C   06 21 2024  00384 070      9.7086      1962                                                                                  
      2DJX     P   06 21 2024  00384 070      1.9746      1962                                                                                  
      2DJX     C   06 21 2024  00384 380      9.4616       654                                                                                  
      2DJX     P   06 21 2024  00384 380      2.0362       654                                                                                  
      2DJX     C   06 21 2024  00386 640      7.7627      1682                                                                                  
      2DJX     P   06 21 2024  00386 640      2.5878      1682                                                                                  
      2DJX     C   06 21 2024  00390 100      5.4455      1286                                                                                  
      2DJX     P   06 21 2024  00390 100      3.7158      1286                                                                                  
      2DJX     C   06 21 2024  00390 500      5.1934       900                                                                                  
      2DJX     P   06 21 2024  00390 500      3.8620       900                                                                                  
      2DJX     C   06 21 2024  00391 160      4.7887      2587                                                                                  
      2DJX     P   06 21 2024  00391 160      4.1144      2587                                                                                  
      2DJX     C   06 21 2024  00392 730      3.8844     12888                                                                                  
      2DJX     P   06 21 2024  00392 730      4.7735     12888                                                                                  
      2DJX     C   06 21 2024  00392 820      3.8351      8375                                                                                  
      2DJX     P   06 21 2024  00392 820      4.8138      8375                                                                                  
      2DJX     C   06 21 2024  00393 000      3.7376        79                                                                                  
      2DJX     P   06 21 2024  00393 000      4.8955        79                                                                                  
      2DJX     C   06 21 2024  00393 300      3.5776      3860                                                                                  
      2DJX     P   06 21 2024  00393 300      5.0342      3860                                                                                  
      2DJX     C   06 21 2024  00393 310      3.5723       643                                                                                  
      2DJX     P   06 21 2024  00393 310      5.0389       643                                                                                  
      2DJX     C   06 21 2024  00395 010      2.7315      2920                                                                                  
      2DJX     P   06 21 2024  00395 010      5.8908      2920                                                                                  
      2DJX     C   06 21 2024  00395 130      2.6893       512                                                                                  
      2DJX     P   06 21 2024  00395 130      5.9682       512                                                                                  
      2DJX     C   06 21 2024  00395 250      2.6477      2536                                                                                  
      2DJX     P   06 21 2024  00395 250      6.0460      2536                                                                                  
      2DJX     C   06 21 2024  00397 000      2.0952       285                                                                                  
      2DJX     P   06 21 2024  00397 000      7.2361       285                                                                                  
      2DJX     C   06 21 2024  00400 300      1.2893      1379                                                                                  
      2DJX     P   06 21 2024  00400 300      9.7161      1379                                                                                  
      2DJX     C   09 20 2024  00363 890     33.4125      4245                                                                                  
      2DJX     P   09 20 2024  00363 890      2.4084      4245                                                                                  
      2DJX     C   10 18 2024  00400 010      9.2785      1000                                                                                  
      2DJX     C   11 15 2024  00400 000     11.2490       500                                                                                  
      2DJX     C   11 15 2024  00400 010     11.2438      2000                                                                                  
      2DJX     C   12 20 2024  00240 470    155.1083      1173                                                                                  
      2DJX     P   12 20 2024  00240 470      1.0907      1173                                                                                  
      2DJX     C   12 20 2024  00251 150    144.9341       940                                                                                  
      2DJX     P   12 20 2024  00251 150      1.2752       940                                                                                  
      2DJX     C   12 20 2024  00261 010    135.5574       910                                                                                  
      2DJX     P   12 20 2024  00261 010      1.4618       910                                                                                  
      2DJX     C   12 20 2024  00262 810    133.8473       360                                                                                  
      2DJX     P   12 20 2024  00262 810      1.4975       360                                                                                  
      2DJX     C   12 20 2024  00264 120    132.6030      1700                                                                                  
      2DJX     P   12 20 2024  00264 120      1.5238      1700                                                                                  
      2DJX     C   12 20 2024  00265 310    131.4729      1614                                                                                  
      2DJX     P   12 20 2024  00265 310      1.5479      1614                                                                                  
      2DJX     C   12 20 2024  00265 890    130.9221       893                                                                                  
      2DJX     P   12 20 2024  00265 890      1.5597       893                                                                                  
      2DJX     C   12 20 2024  00266 520    130.3241       579                                                                                  
      2DJX     P   12 20 2024  00266 520      1.5726       579                                                                                  
      2DJX     C   12 20 2024  00268 000    128.9192      1062                                                                                  
      2DJX     P   12 20 2024  00268 000      1.6033      1062                                                                                  
      2DJX     C   12 20 2024  00270 260    126.7744      1100                                                                                  
      2DJX     P   12 20 2024  00270 260      1.6504      1100                                                                                  
      2DJX     C   12 20 2024  00270 910    126.1576      2113                                                                                  
      2DJX     P   12 20 2024  00270 910      1.6641      2113                                                                                  
      2DJX     C   12 20 2024  00271 050    126.0248      1233                                                                                  
      2DJX     P   12 20 2024  00271 050      1.6670      1233                                                                                  
      2DJX     C   12 20 2024  00271 080    125.9963       528                                                                                  
      2DJX     P   12 20 2024  00271 080      1.6677       528                                                                                  
      2DJX     C   12 20 2024  00271 750    125.3607      1078                                                                                  
      2DJX     P   12 20 2024  00271 750      1.6820      1078                                                                                  
      2DJX     C   12 20 2024  00273 520    123.6820       715                                                                                  
      2DJX     P   12 20 2024  00273 520      1.7199       715                                                                                  
      2DJX     C   12 20 2024  00276 520    120.8373      1721                                                                                  
      2DJX     P   12 20 2024  00276 520      1.7850      1721                                                                                  
      2DJX     C   12 20 2024  00280 540    117.0273      1738                                                                                  
      2DJX     P   12 20 2024  00280 540      1.8740      1738                                                                                  
      2DJX     C   12 20 2024  00287 310    110.6151      1334                                                                                  
      2DJX     P   12 20 2024  00287 310      2.0282      1334                                                                                  
      2DJX     C   12 20 2024  00288 670    109.3274       678                                                                                  
      2DJX     P   12 20 2024  00288 670      2.0595       678                                                                                  
      2DJX     C   12 20 2024  00291 000    107.1213      1322                                                                                  
      2DJX     P   12 20 2024  00291 000      2.1133      1322                                                                                  
      2DJX     P   12 20 2024  00301 000      2.3443       950                                                                                  
      2DJX     C   12 20 2024  00309 840     89.2834      3408                                                                                  
      2DJX     P   12 20 2024  00309 840      2.5485      3408                                                                                  
      2DJX     C   12 20 2024  00326 810     73.2161      3080                                                                                  
      2DJX     P   12 20 2024  00326 810      2.9406      3080                                                                                  
      2DJX     P   12 20 2024  00330 010      3.0146       900                                                                                  
      2DJX     C   12 20 2024  00330 670     69.5615       885                                                                                  
      2DJX     P   12 20 2024  00330 670      3.0298       885                                                                                  
      2DJX     C   12 20 2024  00333 870     66.5317       729                                                                                  
      2DJX     P   12 20 2024  00333 870      3.1038       729                                                                                  
      2DJX     C   12 20 2024  00336 280     64.2499       868                                                                                  
      2DJX     P   12 20 2024  00336 280      3.1595       868                                                                                  
      2DJX     C   12 20 2024  00336 400     64.1363      2032                                                                                  
      2DJX     P   12 20 2024  00336 400      3.1622      2032                                                                                  
      2DJX     C   12 20 2024  00338 520     62.1291      1010                                                                                  
      2DJX     P   12 20 2024  00338 520      3.2112      1010                                                                                  
      2DJX     C   12 20 2024  00338 660     61.9965       575                                                                                  
      2DJX     P   12 20 2024  00338 660      3.2145       575                                                                                  
      2DJX     C   12 20 2024  00341 460     59.3455      2306                                                                                  
      2DJX     P   12 20 2024  00341 460      3.2792      2306                                                                                  
      2DJX     C   12 20 2024  00344 660     56.3157       733                                                                                  
      2DJX     P   12 20 2024  00344 660      3.3531       733                                                                                  
      2DJX     C   12 20 2024  00345 610     55.4162      1064                                                                                  
      2DJX     P   12 20 2024  00345 610      3.3751      1064                                                                                  
      2DJX     C   12 20 2024  00346 520     54.5547      1499                                                                                  
      2DJX     P   12 20 2024  00346 520      3.3961      1499                                                                                  
      2DJX     C   12 20 2024  00347 160     53.9487      1512                                                                                  
      2DJX     P   12 20 2024  00347 160      3.4109      1512                                                                                  
      2DJX     C   12 20 2024  00347 610     53.5226      1537                                                                                  
      2DJX     P   12 20 2024  00347 610      3.4213      1537                                                                                  
      2DJX     C   12 20 2024  00347 700     53.4374       615                                                                                  
      2DJX     P   12 20 2024  00347 700      3.4234       615                                                                                  
      2DJX     C   12 20 2024  00348 050     53.1060       306                                                                                  
      2DJX     P   12 20 2024  00348 050      3.4315       306                                                                                  
      2DJX     C   12 20 2024  00349 410     51.8184       763                                                                                  
      2DJX     P   12 20 2024  00349 410      3.4629       763                                                                                  
      2DJX     C   12 20 2024  00349 790     51.4586      2131                                                                                  
      2DJX     P   12 20 2024  00349 790      3.4717      2131                                                                                  
      2DJX     C   12 20 2024  00350 010     51.2503      1450                                                                                  
      2DJX     C   12 20 2024  00350 550     50.7475      1405                                                                                  
      2DJX     P   12 20 2024  00350 550      3.4977      1405                                                                                  
      2DJX     C   12 20 2024  00351 740     49.6422      4451                                                                                  
      2DJX     P   12 20 2024  00351 740      3.5465      4451                                                                                  
      2DJX     C   12 20 2024  00351 800     49.5864      7419                                                                                  
      2DJX     P   12 20 2024  00351 800      3.5490      7419                                                                                  
      2DJX     C   12 20 2024  00351 900     49.4935      1491                                                                                  
      2DJX     P   12 20 2024  00351 900      3.5531      1491                                                                                  
      2DJX     C   12 20 2024  00353 040     48.4347      5912                                                                                  
      2DJX     P   12 20 2024  00353 040      3.5999      5912                                                                                  
      2DJX     C   12 20 2024  00353 210     48.2768      5911                                                                                  
      2DJX     P   12 20 2024  00353 210      3.6069      5911                                                                                  
      2DJX     C   12 20 2024  00355 460     46.2184      2922                                                                                  
      2DJX     P   12 20 2024  00355 460      3.7309      2922                                                                                  
      2DJX     C   12 20 2024  00355 580     46.1154      1474                                                                                  
      2DJX     P   12 20 2024  00355 580      3.7443      1474                                                                                  
      2DJX     C   12 20 2024  00356 360     45.4470      1180                                                                                  
      2DJX     P   12 20 2024  00356 360      3.8324      1180                                                                                  
      2DJX     C   12 20 2024  00359 140     43.0808      2930                                                                                  
      2DJX     P   12 20 2024  00359 140      4.1626      2930                                                                                  
      2DJX     C   12 20 2024  00359 160     43.0639      1830                                                                                  
      2DJX     P   12 20 2024  00359 160      4.1650      1830                                                                                  
      2DJX     C   12 20 2024  00369 260     34.6755       855                                                                                  
      2DJX     P   12 20 2024  00369 260      5.5727       855                                                                                  
      2DJX     C   12 20 2024  00374 800     30.3628      2768                                                                                  
      2DJX     P   12 20 2024  00374 800      6.6333      2768                                                                                  
      2DJX     C   12 20 2024  00374 910     30.2788      2768                                                                                  
      2DJX     P   12 20 2024  00374 910      6.6561      2768                                                                                  
      2DJX     C   12 20 2024  00375 040     30.1796      6229                                                                                  
      2DJX     P   12 20 2024  00375 040      6.6829      6229                                                                                  
      2DJX     C   12 20 2024  00380 850     25.7871      2719                                                                                  
      2DJX     P   12 20 2024  00380 850      7.9255      2719                                                                                  
      2DJX     C   12 20 2024  00383 340     23.9873      4838                                                                                  
      2DJX     P   12 20 2024  00383 340      8.5408      4838                                                                                  
      2DJX     C   12 20 2024  00385 640     22.3655      1342                                                                                  
      2DJX     P   12 20 2024  00385 640      9.1498      1342                                                                                  
      2DJX     C   12 20 2024  00391 600     18.4107      5888                                                                                  
      2DJX     P   12 20 2024  00391 600     10.9757      5888                                                                                  
      2DJX     C   12 20 2024  00394 630     16.5798      2600                                                                                  
      2DJX     P   12 20 2024  00394 630     12.0837      2600                                                                                  
      2DJX     C   12 20 2024  00396 790     15.3179      1297                                                                                  
      2DJX     P   12 20 2024  00396 790     12.9168      1297                                                                                  
      2DJX     C   12 20 2024  00397 430     14.9522      1296                                                                                  
      2DJX     P   12 20 2024  00397 430     13.1718      1296                                                                                  
      2DJX     C   12 20 2024  00397 830     14.7257       517                                                                                  
      2DJX     P   12 20 2024  00397 830     13.3332       517                                                                                  
      2DJX     C   12 20 2024  00399 000     14.0723      1935                                                                                  
      2DJX     P   12 20 2024  00399 000     13.8147      1935                                                                                  
      2DJX     C   12 20 2024  00399 510     13.7919      3092                                                                                  
      2DJX     P   12 20 2024  00399 510     14.0289      3092                                                                                  
      2DJX     C   12 20 2024  00399 530     13.7810      5156                                                                                  
      2DJX     P   12 20 2024  00399 530     14.0374      5156                                                                                  
      2DJX     C   12 20 2024  00399 730     13.6718      4777                                                                                  
      2DJX     P   12 20 2024  00399 730     14.1222      4777                                                                                  
      2DJX     C   12 20 2024  00400 010     13.5197      1000                                                                                  
      2DJX     C   12 20 2024  00400 700     13.1589      4114                                                                                  
      2DJX     P   12 20 2024  00400 700     14.5501      4114                                                                                  
      2DJX     C   12 20 2024  00402 530     12.2264       512                                                                                  
      2DJX     P   12 20 2024  00402 530     15.3926       512                                                                                  
      2DJX     C   12 20 2024  00420 010      5.2326       825                                                                                  
      2DJX     C   01 17 2025  00400 000     15.1976       600                                                                                  
      2DJX     C   06 20 2025  00416 080     15.1917      1379                                                                                  
      2DJX     P   06 20 2025  00416 080     24.6796      1379                                                                                  
      2DJX     C   12 19 2025  00258 950    149.6595      4024                                                                                  
      2DJX     P   12 19 2025  00258 950      4.5508      4024                                                                                  
      2DJX     C   12 19 2025  00291 590    119.8590       983                                                                                  
      2DJX     P   12 19 2025  00291 590      4.9610       983                                                                                  
      2DJX     C   12 19 2025  00299 210    112.9018      1285                                                                                  
      2DJX     P   12 19 2025  00299 210      5.0568      1285                                                                                  
      2DJX     P   12 19 2025  00310 010      5.1925       600                                                                                  
      2DJX     C   12 19 2025  00322 580     91.7271       822                                                                                  
      2DJX     P   12 19 2025  00322 580      5.5127       822                                                                                  
      2DJX     C   12 19 2025  00330 070     85.5091       596                                                                                  
      2DJX     P   12 19 2025  00330 070      6.2273       596                                                                                  
      2DJX     C   12 19 2025  00331 060     84.7437       592                                                                                  
      2DJX     P   12 19 2025  00331 060      6.3783       592                                                                                  
      2DJX     C   12 19 2025  00331 670     84.2750       614                                                                                  
      2DJX     P   12 19 2025  00331 670      6.4742       614                                                                                  
      2DJX     C   12 19 2025  00334 600     82.0238       587                                                                                  
      2DJX     P   12 19 2025  00334 600      6.9348       587                                                                                  
      2DJX     C   12 19 2025  00334 610     82.0161       587                                                                                  
      2DJX     P   12 19 2025  00334 610      6.9364       587                                                                                  
      2DJX     C   12 19 2025  00336 260     80.7483      3333                                                                                  
      2DJX     P   12 19 2025  00336 260      7.1958      3333                                                                                  
      2DJX     C   12 19 2025  00336 300     80.7176       291                                                                                  
      2DJX     P   12 19 2025  00336 300      7.2021       291                                                                                  
      2DJX     C   12 19 2025  00340 560     77.4445      1428                                                                                  
      2DJX     P   12 19 2025  00340 560      7.8719      1428                                                                                  
      2DJX     C   12 19 2025  00341 180     76.9681      1716                                                                                  
      2DJX     P   12 19 2025  00341 180      7.9694      1716                                                                                  
      2DJX     C   12 19 2025  00342 030     76.3150      1431                                                                                  
      2DJX     P   12 19 2025  00342 030      8.1031      1431                                                                                  
      2DJX     C   12 19 2025  00342 230     76.1613       576                                                                                  
      2DJX     P   12 19 2025  00342 230      8.1345       576                                                                                  
      2DJX     C   12 19 2025  00346 190     73.1232      1410                                                                                  
      2DJX     P   12 19 2025  00346 190      8.7617      1410                                                                                  
      2DJX     C   12 19 2025  00347 240     72.3180      1434                                                                                  
      2DJX     P   12 19 2025  00347 240      8.9283      1434                                                                                  
      2DJX     C   12 19 2025  00347 320     72.2567      1004                                                                                  
      2DJX     P   12 19 2025  00347 320      8.9411      1004                                                                                  
      2DJX     C   12 19 2025  00356 070     65.5692      1407                                                                                  
      2DJX     P   12 19 2025  00356 070     10.3523      1407                                                                                  
      2DJX     C   12 19 2025  00356 170     65.4928       758                                                                                  
      2DJX     P   12 19 2025  00356 170     10.3685       758                                                                                  
      2DJX     C   12 19 2025  00356 610     65.1565       418                                                                                  
      2DJX     P   12 19 2025  00356 610     10.4394       418                                                                                  
      2DJX     C   12 19 2025  00358 970     63.3596       700                                                                                  
      2DJX     P   12 19 2025  00358 970     10.8269       700                                                                                  
      2DJX     C   12 19 2025  00359 500     62.9578       420                                                                                  
      2DJX     P   12 19 2025  00359 500     10.9157       420                                                                                  
      2DJX     C   12 19 2025  00360 320     62.3407      9620                                                                                  
      2DJX     P   12 19 2025  00360 320     11.0575      9620                                                                                  
      2DJX     C   12 19 2025  00362 300     60.8697       295                                                                                  
      2DJX     P   12 19 2025  00362 300     11.4191       295                                                                                  
      2DJX     C   12 19 2025  00362 640     60.6181       442                                                                                  
      2DJX     P   12 19 2025  00362 640     11.4823       442                                                                                  
      2DJX     C   12 19 2025  00362 760     60.5294      1184                                                                                  
      2DJX     P   12 19 2025  00362 760     11.5046      1184                                                                                  
      2DJX     C   12 19 2025  00363 110     60.2708      3670                                                                                  
      2DJX     P   12 19 2025  00363 110     11.5700      3670                                                                                  
      2DJX     C   12 19 2025  00363 240     60.1748      2936                                                                                  
      2DJX     P   12 19 2025  00363 240     11.5944      2936                                                                                  
      2DJX     C   12 19 2025  00363 910     59.6810       862                                                                                  
      2DJX     P   12 19 2025  00363 910     11.7207       862                                                                                  
      2DJX     C   12 19 2025  00365 360     58.6163      1327                                                                                  
      2DJX     P   12 19 2025  00365 360     11.9980      1327                                                                                  
      2DJX     C   12 19 2025  00365 420     58.5724      3408                                                                                  
      2DJX     P   12 19 2025  00365 420     12.0096      3408                                                                                  
      2DJX     C   12 19 2025  00367 190     57.2806       862                                                                                  
      2DJX     P   12 19 2025  00367 190     12.3562       862                                                                                  
      2DJX     C   12 19 2025  00368 310     56.4677      1764                                                                                  
      2DJX     P   12 19 2025  00368 310     12.5798      1764                                                                                  
      2DJX     C   12 19 2025  00369 840     55.3627       284                                                                                  
      2DJX     P   12 19 2025  00369 840     12.8910       284                                                                                  
      2DJX     C   12 19 2025  00370 000     55.2475      1250                                                                                  
      2DJX     C   12 19 2025  00370 150     55.1397       853                                                                                  
      2DJX     P   12 19 2025  00370 150     12.9549       853                                                                                  
      2DJX     C   12 19 2025  00371 880     53.8998       717                                                                                  
      2DJX     P   12 19 2025  00371 880     13.3163       717                                                                                  
      2DJX     C   12 19 2025  00377 430     49.9815      1981                                                                                  
      2DJX     P   12 19 2025  00377 430     14.5349      1981                                                                                  
      2DJX     C   12 19 2025  00396 770     37.3609      1067                                                                                  
      2DJX     P   12 19 2025  00396 770     19.8149      1067                                                                                  
      2DJX     C   12 19 2025  00405 190     31.9498      1302                                                                                  
      2DJX     P   12 19 2025  00405 190     22.1972      1302                                                                                  
      2DJX     C   12 19 2025  00405 270     31.8984      1302                                                                                  
      2DJX     P   12 19 2025  00405 270     22.2198      1302                                                                                  
      2DJX     C   12 19 2025  00408 100     30.0797      1942                                                                                  
      2DJX     P   12 19 2025  00408 100     23.0205      1942                                                                                  
      2DJX     C   12 19 2025  00408 930     29.5463      4909                                                                                  
      2DJX     P   12 19 2025  00408 930     23.2553      4909                                                                                  
      2DJX     C   12 19 2025  00409 600     29.1157      2587                                                                                  
      2DJX     P   12 19 2025  00409 600     23.4449      2587                                                                                  
      2DJX     C   12 19 2025  00409 730     29.0322      2579                                                                                  
      2DJX     P   12 19 2025  00409 730     23.4817      2579                                                                                  
      2DJX     C   12 19 2025  00409 740     29.0258      1935                                                                                  
      2DJX     P   12 19 2025  00409 740     23.4845      1935                                                                                  
      2DJX     C   12 19 2025  00410 470     28.5566      3092                                                                                  
      2DJX     P   12 19 2025  00410 470     23.6910      3092                                                                                  
      2DJX     C   12 19 2025  00411 290     28.0297      1286                                                                                  
      2DJX     P   12 19 2025  00411 290     23.9230      1286                                                                                  
      2DJX     C   12 19 2025  00417 900     23.7818      2536                                                                                  
      2DJX     P   12 19 2025  00417 900     25.7932      2536                                                                                  
      2DJX     C   06 18 2026  00400 000     40.2729       250                                                                                  
      2DJX     C   06 18 2026  00420 000     30.2772       250                                                                                  
      2DJX     C   12 18 2026  00332 330     84.2713      2350                                                                                  
      2DJX     P   12 18 2026  00332 330     10.4034      2350                                                                                  
      2DJX     C   12 18 2026  00333 160     83.6590       986                                                                                  
      2DJX     P   12 18 2026  00333 160     10.5283       986                                                                                  
      2DJX     C   12 18 2026  00339 950     78.6499       870                                                                                  
      2DJX     P   12 18 2026  00339 950     11.5500       870                                                                                  
      2DJX     C   12 18 2026  00341 950     77.1745      1296                                                                                  
      2DJX     P   12 18 2026  00341 950     11.8509      1296                                                                                  
      2DJX     C   12 18 2026  00344 600     75.2195       791                                                                                  
      2DJX     P   12 18 2026  00344 600     12.2496       791                                                                                  
      2DJX     C   12 18 2026  00347 610     72.9990       864                                                                                  
      2DJX     P   12 18 2026  00347 610     12.7025       864                                                                                  
      2DJX     C   12 18 2026  00348 500     72.3425      1180                                                                                  
      2DJX     P   12 18 2026  00348 500     12.8364      1180                                                                                  
      2DJX     C   12 18 2026  00353 120     69.0448       991                                                                                  
      2DJX     P   12 18 2026  00353 120     13.6422       991                                                                                  
      2DJX     C   12 18 2026  00353 140     69.0308       288                                                                                  
      2DJX     P   12 18 2026  00353 140     13.6459       288                                                                                  
      2DJX     C   12 18 2026  00353 860     68.5275       710                                                                                  
      2DJX     P   12 18 2026  00353 860     13.7821       710                                                                                  
      2DJX     C   12 18 2026  00354 490     68.0880      3579                                                                                  
      2DJX     P   12 18 2026  00354 490     13.9022      3579                                                                                  
      2DJX     C   12 18 2026  00358 900     65.0441       281                                                                                  
