   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST   
      2DJX     C   06 21 2024  00381 070      6.5243      3957                                                                                  
      2DJX     P   06 21 2024  00381 070      6.7800      3957                                                                                  
      2DJX     C   06 21 2024  00384 030      4.9837      5888                                                                                  
      2DJX     P   06 21 2024  00384 030      8.1773      5888                                                                                  
      2DJX     C   06 21 2024  00384 070      4.9643      1962                                                                                  
      2DJX     P   06 21 2024  00384 070      8.1976      1962                                                                                  
      2DJX     C   06 21 2024  00384 380      4.8155       654                                                                                  
      2DJX     P   06 21 2024  00384 380      8.3565       654                                                                                  
      2DJX     C   06 21 2024  00386 640      3.8421      1682                                                                                  
      2DJX     P   06 21 2024  00386 640      9.6262      1682                                                                                  
      2DJX     C   06 21 2024  00391 160      2.3134      2587                                                                                  
      2DJX     P   06 21 2024  00391 160     12.5837      2587                                                                                  
      2DJX     C   06 21 2024  00392 730      1.9061     12888                                                                                  
      2DJX     P   06 21 2024  00392 730     13.7346     12888                                                                                  
      2DJX     C   06 21 2024  00392 820      1.8844      8375                                                                                  
      2DJX     P   06 21 2024  00392 820     13.8023      8375                                                                                  
      2DJX     C   06 21 2024  00393 000      1.8414        79                                                                                  
      2DJX     P   06 21 2024  00393 000     13.9380        79                                                                                  
      2DJX     C   06 21 2024  00393 300      1.7715      3860                                                                                  
      2DJX     P   06 21 2024  00393 300     14.1658      3860                                                                                  
      2DJX     C   06 21 2024  00393 310      1.7692       643                                                                                  
      2DJX     P   06 21 2024  00393 310     14.1734       643                                                                                  
      2DJX     C   06 21 2024  00395 130      1.3877       512                                                                                  
      2DJX     P   06 21 2024  00395 130     15.5983       512                                                                                  
      2DJX     P   08 16 2024  00360 000      3.6560       400                                                                                  
      2DJX     C   09 20 2024  00363 890     25.5752      4245                                                                                  
      2DJX     P   09 20 2024  00363 890      5.4226      4245                                                                                  
      2DJX     C   10 18 2024  00400 010      6.2968      1000                                                                                  
      2DJX     C   11 15 2024  00400 010      8.0003      2000                                                                                  
      2DJX     C   12 20 2024  00240 470    143.5997      1173                                                                                  
      2DJX     P   12 20 2024  00240 470      0.9332      1173                                                                                  
      2DJX     C   12 20 2024  00251 150    133.4879       940                                                                                  
      2DJX     P   12 20 2024  00251 150      1.1481       940                                                                                  
      2DJX     C   12 20 2024  00261 010    124.1525       910                                                                                  
      2DJX     P   12 20 2024  00261 010      1.3466       910                                                                                  
      2DJX     C   12 20 2024  00262 810    122.4483       360                                                                                  
      2DJX     P   12 20 2024  00262 810      1.3828       360                                                                                  
      2DJX     C   12 20 2024  00264 120    121.2080      1700                                                                                  
      2DJX     P   12 20 2024  00264 120      1.4092      1700                                                                                  
      2DJX     C   12 20 2024  00265 310    120.0813      1614                                                                                  
      2DJX     P   12 20 2024  00265 310      1.4332      1614                                                                                  
      2DJX     C   12 20 2024  00265 890    119.5322       893                                                                                  
      2DJX     P   12 20 2024  00265 890      1.4448       893                                                                                  
      2DJX     C   12 20 2024  00266 520    118.9357       579                                                                                  
      2DJX     P   12 20 2024  00266 520      1.4575       579                                                                                  
      2DJX     C   12 20 2024  00268 000    117.5345      1062                                                                                  
      2DJX     P   12 20 2024  00268 000      1.4873      1062                                                                                  
      2DJX     C   12 20 2024  00270 260    115.3947      1100                                                                                  
      2DJX     P   12 20 2024  00270 260      1.5329      1100                                                                                  
      2DJX     C   12 20 2024  00270 910    114.7793      2113                                                                                  
      2DJX     P   12 20 2024  00270 910      1.5460      2113                                                                                  
      2DJX     C   12 20 2024  00271 050    114.6468      1233                                                                                  
      2DJX     P   12 20 2024  00271 050      1.5488      1233                                                                                  
      2DJX     C   12 20 2024  00271 080    114.6184       528                                                                                  
      2DJX     P   12 20 2024  00271 080      1.5494       528                                                                                  
      2DJX     C   12 20 2024  00271 750    113.9840      1078                                                                                  
      2DJX     P   12 20 2024  00271 750      1.5629      1078                                                                                  
      2DJX     C   12 20 2024  00273 520    112.3082       715                                                                                  
      2DJX     P   12 20 2024  00273 520      1.5985       715                                                                                  
      2DJX     C   12 20 2024  00276 520    109.4679      1721                                                                                  
      2DJX     P   12 20 2024  00276 520      1.6590      1721                                                                                  
      2DJX     C   12 20 2024  00280 540    105.6619      1738                                                                                  
      2DJX     P   12 20 2024  00280 540      1.7400      1738                                                                                  
      2DJX     C   12 20 2024  00287 310     99.2522      1334                                                                                  
      2DJX     P   12 20 2024  00287 310      1.8764      1334                                                                                  
      2DJX     C   12 20 2024  00288 670     97.9646       678                                                                                  
      2DJX     P   12 20 2024  00288 670      1.9038       678                                                                                  
      2DJX     C   12 20 2024  00291 000     95.7586      1322                                                                                  
      2DJX     P   12 20 2024  00291 000      1.9507      1322                                                                                  
      2DJX     P   12 20 2024  00301 000      2.1522       950                                                                                  
      2DJX     C   12 20 2024  00309 840     77.9214      3408                                                                                  
      2DJX     P   12 20 2024  00309 840      2.3303      3408                                                                                  
      2DJX     C   12 20 2024  00326 810     62.3769      3080                                                                                  
      2DJX     P   12 20 2024  00326 810      3.1944      3080                                                                                  
      2DJX     P   12 20 2024  00330 010      3.4359       900                                                                                  
      2DJX     C   12 20 2024  00330 670     58.9443       885                                                                                  
      2DJX     P   12 20 2024  00330 670      3.4942       885                                                                                  
      2DJX     C   12 20 2024  00333 870     56.1460       729                                                                                  
      2DJX     P   12 20 2024  00333 870      3.7900       729                                                                                  
      2DJX     C   12 20 2024  00336 280     54.0543       868                                                                                  
      2DJX     P   12 20 2024  00336 280      4.0285       868                                                                                  
      2DJX     C   12 20 2024  00336 400     53.9505      2032                                                                                  
      2DJX     P   12 20 2024  00336 400      4.0408      2032                                                                                  
      2DJX     C   12 20 2024  00338 520     52.1229      1010                                                                                  
      2DJX     P   12 20 2024  00338 520      4.2631      1010                                                                                  
      2DJX     C   12 20 2024  00338 660     52.0026       575                                                                                  
