Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,06 21 2024,00381 070,7.2643,3957,06 17 2024
1,2DJX,P,06 21 2024,00381 070,0.1731,3957,06 17 2024
2,2DJX,C,06 21 2024,00382 140,6.2528,2356,06 17 2024
3,2DJX,P,06 21 2024,00382 140,0.2309,2356,06 17 2024
4,2DJX,C,06 21 2024,00383 800,4.7256,560,06 17 2024
5,2DJX,P,06 21 2024,00383 800,0.3628,560,06 17 2024
6,2DJX,C,06 21 2024,00384 030,4.5193,5888,06 17 2024
7,2DJX,P,06 21 2024,00384 030,0.3864,5888,06 17 2024
8,2DJX,C,06 21 2024,00384 070,4.4836,1962,06 17 2024
9,2DJX,P,06 21 2024,00384 070,0.3907,1962,06 17 2024
10,2DJX,C,06 21 2024,00384 380,4.2086,654,06 17 2024
11,2DJX,P,06 21 2024,00384 380,0.4254,654,06 17 2024
12,2DJX,C,06 21 2024,00385 450,3.3118,6499,06 17 2024
13,2DJX,P,06 21 2024,00385 450,0.5980,6499,06 17 2024
14,2DJX,C,06 21 2024,00386 300,2.6774,7776,06 17 2024
15,2DJX,P,06 21 2024,00386 300,0.8131,7776,06 17 2024
16,2DJX,C,06 21 2024,00386 640,2.4397,1682,06 17 2024
17,2DJX,P,06 21 2024,00386 640,0.9152,1682,06 17 2024
18,2DJX,C,06 21 2024,00386 810,2.3246,777,06 17 2024
19,2DJX,P,06 21 2024,00386 810,0.9700,777,06 17 2024
20,2DJX,C,06 21 2024,00388 090,1.5453,2580,06 17 2024
21,2DJX,P,06 21 2024,00388 090,1.4700,2580,06 17 2024
22,2DJX,C,06 21 2024,00388 550,1.3058,2579,06 17 2024
23,2DJX,P,06 21 2024,00388 550,1.6902,2579,06 17 2024
24,2DJX,C,06 21 2024,00389 070,1.0623,1030,06 17 2024
25,2DJX,P,06 21 2024,00389 070,1.9664,1030,06 17 2024
26,2DJX,C,06 21 2024,00389 110,1.0448,1030,06 17 2024
27,2DJX,P,06 21 2024,00389 110,1.9888,1030,06 17 2024
28,2DJX,C,06 21 2024,00389 390,0.9270,771,06 17 2024
29,2DJX,P,06 21 2024,00389 390,2.1509,771,06 17 2024
30,2DJX,C,06 21 2024,00389 800,0.7700,386,06 17 2024
31,2DJX,P,06 21 2024,00389 800,2.4037,386,06 17 2024
32,2DJX,C,06 21 2024,00390 100,0.6736,1286,06 17 2024
33,2DJX,P,06 21 2024,00390 100,2.6071,1286,06 17 2024
34,2DJX,C,06 21 2024,00390 310,0.6209,513,06 17 2024
35,2DJX,P,06 21 2024,00390 310,2.7642,513,06 17 2024
36,2DJX,C,06 21 2024,00390 500,0.5762,900,06 17 2024
37,2DJX,P,06 21 2024,00390 500,2.9095,900,06 17 2024
38,2DJX,C,06 21 2024,00391 000,0.4717,3840,06 17 2024
39,2DJX,P,06 21 2024,00391 000,3.3046,3840,06 17 2024
40,2DJX,C,06 21 2024,00391 160,0.4419,2587,06 17 2024
41,2DJX,P,06 21 2024,00391 160,3.4347,2587,06 17 2024
42,2DJX,C,06 21 2024,00392 730,0.2267,12888,06 17 2024
43,2DJX,P,06 21 2024,00392 730,4.7886,12888,06 17 2024
44,2DJX,C,06 21 2024,00392 820,0.2179,8375,06 17 2024
45,2DJX,P,06 21 2024,00392 820,4.8697,8375,06 17 2024
46,2DJX,C,06 21 2024,00393 000,0.2012,79,06 17 2024
47,2DJX,P,06 21 2024,00393 000,5.0329,79,06 17 2024
48,2DJX,C,06 21 2024,00393 300,0.1759,3860,06 17 2024
49,2DJX,P,06 21 2024,00393 300,5.3075,3860,06 17 2024
50,2DJX,C,06 21 2024,00393 310,0.1751,643,06 17 2024
51,2DJX,P,06 21 2024,00393 310,5.3167,643,06 17 2024
52,2DJX,C,06 21 2024,00395 010,0.0795,2920,06 17 2024
53,2DJX,P,06 21 2024,00395 010,6.9201,2920,06 17 2024
54,2DJX,C,06 21 2024,00395 130,0.0741,512,06 17 2024
55,2DJX,P,06 21 2024,00395 130,7.0346,512,06 17 2024
56,2DJX,C,06 21 2024,00395 250,0.0690,2536,06 17 2024
57,2DJX,P,06 21 2024,00395 250,7.1495,2536,06 17 2024
58,2DJX,C,06 21 2024,00397 000,0.0227,285,06 17 2024
59,2DJX,P,06 21 2024,00397 000,8.8521,285,06 17 2024
60,2DJX,C,06 21 2024,00400 300,0.0019,1379,06 17 2024
61,2DJX,P,06 21 2024,00400 300,12.1293,1379,06 17 2024
62,2DJX,C,09 20 2024,00363 890,30.1915,4245,06 17 2024
63,2DJX,P,09 20 2024,00363 890,2.1508,4245,06 17 2024
64,2DJX,C,09 20 2024,00389 530,10.1105,6499,06 17 2024
65,2DJX,P,09 20 2024,00389 530,7.3539,6499,06 17 2024
66,2DJX,C,09 20 2024,00390 390,9.5906,7776,06 17 2024
67,2DJX,P,09 20 2024,00390 390,7.6821,7776,06 17 2024
68,2DJX,C,09 20 2024,00392 190,8.5746,2580,06 17 2024
69,2DJX,P,09 20 2024,00392 190,8.4411,2580,06 17 2024
70,2DJX,C,09 20 2024,00392 650,8.3240,2579,06 17 2024
71,2DJX,P,09 20 2024,00392 650,8.6441,2579,06 17 2024
72,2DJX,C,09 20 2024,00395 160,7.0241,3840,06 17 2024
73,2DJX,P,09 20 2024,00395 160,9.8194,3840,06 17 2024
