   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST   
      2DJX     C   06 21 2024  00381 070      8.2356      3957                                                                                  
      2DJX     P   06 21 2024  00381 070      1.4367      3957                                                                                  
      2DJX     C   06 21 2024  00382 140      7.3931      2356                                                                                  
      2DJX     P   06 21 2024  00382 140      1.6615      2356                                                                                  
      2DJX     C   06 21 2024  00383 800      6.1490       560                                                                                  
      2DJX     P   06 21 2024  00383 800      2.0732       560                                                                                  
      2DJX     C   06 21 2024  00384 030      5.9833      5888                                                                                  
      2DJX     P   06 21 2024  00384 030      2.1369      5888                                                                                  
      2DJX     C   06 21 2024  00384 070      5.9546      1962                                                                                  
      2DJX     P   06 21 2024  00384 070      2.1482      1962                                                                                  
      2DJX     C   06 21 2024  00384 380      5.7344       654                                                                                  
      2DJX     P   06 21 2024  00384 380      2.2372       654                                                                                  
      2DJX     C   06 21 2024  00385 450      5.0106      5201                                                                                  
      2DJX     P   06 21 2024  00385 450      2.5807      5201                                                                                  
      2DJX     C   06 21 2024  00386 640      4.2738      1682                                                                                  
      2DJX     P   06 21 2024  00386 640      3.0310      1682                                                                                  
      2DJX     C   06 21 2024  00386 810      4.1733       777                                                                                  
      2DJX     P   06 21 2024  00386 810      3.1000       777                                                                                  
      2DJX     C   06 21 2024  00389 800      2.6102       386                                                                                  
      2DJX     P   06 21 2024  00389 800      4.5195       386                                                                                  
      2DJX     C   06 21 2024  00390 100      2.4759      1286                                                                                  
      2DJX     P   06 21 2024  00390 100      4.6844      1286                                                                                  
      2DJX     C   06 21 2024  00390 500      2.3043       900                                                                                  
      2DJX     P   06 21 2024  00390 500      4.9118       900                                                                                  
      2DJX     C   06 21 2024  00391 160      2.0372      2587                                                                                  
      2DJX     P   06 21 2024  00391 160      5.3030      2587                                                                                  
      2DJX     C   06 21 2024  00392 730      1.4817     12888                                                                                  
      2DJX     P   06 21 2024  00392 730      6.3136     12888                                                                                  
      2DJX     C   06 21 2024  00392 820      1.4532      8375                                                                                  
      2DJX     P   06 21 2024  00392 820      6.3749      8375                                                                                  
      2DJX     C   06 21 2024  00393 000      1.3973        79                                                                                  
      2DJX     P   06 21 2024  00393 000      6.4986        79                                                                                  
      2DJX     C   06 21 2024  00393 300      1.3074      3860                                                                                  
      2DJX     P   06 21 2024  00393 300      6.7079      3860                                                                                  
      2DJX     C   06 21 2024  00393 310      1.3045       643                                                                                  
      2DJX     P   06 21 2024  00393 310      6.7149       643                                                                                  
      2DJX     C   06 21 2024  00395 010      0.8681      2920                                                                                  
      2DJX     P   06 21 2024  00395 010      7.9743      2920                                                                                  
      2DJX     C   06 21 2024  00395 130      0.8449       512                                                                                  
      2DJX     P   06 21 2024  00395 130      8.0709       512                                                                                  
      2DJX     C   06 21 2024  00395 250      0.8223      2536                                                                                  
      2DJX     P   06 21 2024  00395 250      8.1679      2536                                                                                  
      2DJX     C   06 21 2024  00397 000      0.5432       285                                                                                  
      2DJX     P   06 21 2024  00397 000      9.6345       285                                                                                  
      2DJX     C   06 21 2024  00400 300      0.2273      1379                                                                                  
      2DJX     P   06 21 2024  00400 300     12.6103      1379                                                                                  
      2DJX     C   09 20 2024  00363 890     30.1041      4245                                                                                  
      2DJX     P   09 20 2024  00363 890      2.5453      4245                                                                                  
      2DJX     C   09 20 2024  00389 530     10.3889      5201                                                                                  
      2DJX     P   09 20 2024  00389 530      8.0673      5201                                                                                  
      2DJX     C   10 18 2024  00400 000      7.3606      1000                                                                                  
      2DJX     C   10 18 2024  00400 010      7.3562      1000                                                                                  
      2DJX     C   11 15 2024  00400 000      9.3367      1000                                                                                  
      2DJX     C   11 15 2024  00400 010      9.3320      2000                                                                                  
      2DJX     C   12 20 2024  00240 470    151.1459      1173                                                                                  
      2DJX     P   12 20 2024  00240 470      0.3416      1173                                                                                  
      2DJX     C   12 20 2024  00251 150    140.8723       940                                                                                  
      2DJX     P   12 20 2024  00251 150      0.4467       940                                                                                  
      2DJX     C   12 20 2024  00261 010    131.4019       910                                                                                  
      2DJX     P   12 20 2024  00261 010      0.5582       910                                                                                  
      2DJX     C   12 20 2024  00262 810    129.6730       360                                                                                  
      2DJX     P   12 20 2024  00262 810      0.5786       360                                                                                  
      2DJX     C   12 20 2024  00264 120    128.4148      1700                                                                                  
      2DJX     P   12 20 2024  00264 120      0.5934      1700                                                                                  
      2DJX     C   12 20 2024  00265 310    127.2718      1614                                                                                  
      2DJX     P   12 20 2024  00265 310      0.6069      1614                                                                                  
      2DJX     C   12 20 2024  00265 890    126.7148       893                                                                                  
      2DJX     P   12 20 2024  00265 890      0.6134       893                                                                                  
