,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
0,2DJX,C,06 21 2024,00381 070,10.3465,3957
1,2DJX,P,06 21 2024,00381 070,0.0006,3957
2,2DJX,C,06 21 2024,00382 140,9.2780,2356
3,2DJX,P,06 21 2024,00382 140,0.0020,2356
4,2DJX,C,06 21 2024,00383 800,7.6268,560
5,2DJX,P,06 21 2024,00383 800,0.0105,560
6,2DJX,C,06 21 2024,00384 030,7.3999,5888
7,2DJX,P,06 21 2024,00384 030,0.0136,5888
8,2DJX,C,06 21 2024,00384 070,7.3605,1962
9,2DJX,P,06 21 2024,00384 070,0.0142,1962
10,2DJX,C,06 21 2024,00384 380,7.0549,654
11,2DJX,P,06 21 2024,00384 380,0.0186,654
12,2DJX,C,06 21 2024,00385 450,6.0002,6499
13,2DJX,P,06 21 2024,00385 450,0.0337,6499
14,2DJX,C,06 21 2024,00386 300,5.1624,7776
15,2DJX,P,06 21 2024,00386 300,0.0458,7776
16,2DJX,C,06 21 2024,00386 640,4.8276,1682
17,2DJX,P,06 21 2024,00386 640,0.0510,1682
18,2DJX,C,06 21 2024,00386 810,4.6605,777
19,2DJX,P,06 21 2024,00386 810,0.0538,777
20,2DJX,C,06 21 2024,00388 090,3.4073,2580
21,2DJX,P,06 21 2024,00388 090,0.0804,2580
22,2DJX,C,06 21 2024,00388 550,2.9594,2579
23,2DJX,P,06 21 2024,00388 550,0.0924,2579
24,2DJX,C,06 21 2024,00389 070,2.4545,1030
25,2DJX,P,06 21 2024,00389 070,0.1074,1030
26,2DJX,C,06 21 2024,00389 110,2.4157,1030
27,2DJX,P,06 21 2024,00389 110,0.1087,1030
28,2DJX,C,06 21 2024,00389 390,2.1442,771
29,2DJX,P,06 21 2024,00389 390,0.1171,771
30,2DJX,C,06 21 2024,00389 800,1.7467,386
31,2DJX,P,06 21 2024,00389 800,0.1295,386
32,2DJX,C,06 21 2024,00390 100,1.4742,1286
33,2DJX,P,06 21 2024,00390 100,0.1570,1286
34,2DJX,C,06 21 2024,00390 310,1.3179,513
35,2DJX,P,06 21 2024,00390 310,0.2107,513
36,2DJX,C,06 21 2024,00390 500,1.1857,900
37,2DJX,P,06 21 2024,00390 500,0.2685,900
38,2DJX,C,06 21 2024,00391 000,0.8810,3840
39,2DJX,P,06 21 2024,00391 000,0.4637,3840
40,2DJX,C,06 21 2024,00391 160,0.7967,2587
41,2DJX,P,06 21 2024,00391 160,0.5394,2587
42,2DJX,C,06 21 2024,00392 730,0.2631,12888
43,2DJX,P,06 21 2024,00392 730,1.5756,12888
44,2DJX,C,06 21 2024,00392 820,0.2455,8375
45,2DJX,P,06 21 2024,00392 820,1.6479,8375
46,2DJX,C,06 21 2024,00393 000,0.2134,79
47,2DJX,P,06 21 2024,00393 000,1.7958,79
48,2DJX,C,06 21 2024,00393 300,0.1682,3860
49,2DJX,P,06 21 2024,00393 300,2.0506,3860
50,2DJX,C,06 21 2024,00393 310,0.1669,643
51,2DJX,P,06 21 2024,00393 310,2.0592,643
52,2DJX,C,06 21 2024,00395 010,0.0395,2920
53,2DJX,P,06 21 2024,00395 010,3.6316,2920
54,2DJX,C,06 21 2024,00395 130,0.0345,512
55,2DJX,P,06 21 2024,00395 130,3.7465,512
56,2DJX,C,06 21 2024,00395 250,0.0299,2536
57,2DJX,P,06 21 2024,00395 250,3.8620,2536
58,2DJX,C,06 21 2024,00397 000,0.0029,285
59,2DJX,P,06 21 2024,00397 000,5.5847,285
60,2DJX,C,06 21 2024,00400 300,0.0001,1379
61,2DJX,P,06 21 2024,00400 300,8.8814,1379
62,2DJX,C,09 20 2024,00363 890,33.4947,4245
63,2DJX,P,09 20 2024,00363 890,2.0279,4245
64,2DJX,C,09 20 2024,00389 530,12.6462,6499
65,2DJX,P,09 20 2024,00389 530,6.4747,6499
66,2DJX,C,09 20 2024,00390 390,12.0803,7776
67,2DJX,P,09 20 2024,00390 390,6.7573,7776
68,2DJX,C,09 20 2024,00392 190,10.9446,2580
69,2DJX,P,09 20 2024,00392 190,7.3973,2580
70,2DJX,C,09 20 2024,00392 650,10.6622,2579
71,2DJX,P,09 20 2024,00392 650,7.5688,2579
72,2DJX,C,09 20 2024,00395 160,9.1809,3840
73,2DJX,P,09 20 2024,00395 160,8.5637,3840
74,2DJX,C,10 18 2024,00400 000,8.8218,1000
75,2DJX,C,10 18 2024,00400 010,8.8165,1000
76,2DJX,C,11 15 2024,00400 000,10.8488,1000
77,2DJX,C,11 15 2024,00400 010,10.8432,2000
78,2DJX,C,12 20 2024,00240 470,155.4789,1173
79,2DJX,P,12 20 2024,00240 470,0.4487,1173
80,2DJX,C,12 20 2024,00251 150,145.1624,940
81,2DJX,P,12 20 2024,00251 150,0.5343,940
82,2DJX,C,12 20 2024,00261 010,135.6476,910
83,2DJX,P,12 20 2024,00261 010,0.6228,910
84,2DJX,C,12 20 2024,00262 810,133.9115,360
85,2DJX,P,12 20 2024,00262 810,0.6398,360
