   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST   
      2DJX     C   06 21 2024  00381 070      9.3041      3957                                                                                  
      2DJX     P   06 21 2024  00381 070      0.8708      3957                                                                                  
      2DJX     C   06 21 2024  00382 140      8.3953      2356                                                                                  
      2DJX     P   06 21 2024  00382 140      1.0297      2356                                                                                  
      2DJX     C   06 21 2024  00383 800      7.0393       560                                                                                  
      2DJX     P   06 21 2024  00383 800      1.3300       560                                                                                  
      2DJX     C   06 21 2024  00384 030      6.8573      5888                                                                                  
      2DJX     P   06 21 2024  00384 030      1.3775      5888                                                                                  
      2DJX     C   06 21 2024  00384 070      6.8258      1962                                                                                  
      2DJX     P   06 21 2024  00384 070      1.3859      1962                                                                                  
      2DJX     C   06 21 2024  00384 380      6.5832       654                                                                                  
      2DJX     P   06 21 2024  00384 380      1.4526       654                                                                                  
      2DJX     C   06 21 2024  00385 450      5.7824      5201                                                                                  
      2DJX     P   06 21 2024  00385 450      1.7194      5201                                                                                  
      2DJX     C   06 21 2024  00386 640      4.9621      1682                                                                                  
      2DJX     P   06 21 2024  00386 640      2.0865      1682                                                                                  
      2DJX     C   06 21 2024  00386 810      4.8496       777                                                                                  
      2DJX     P   06 21 2024  00386 810      2.1436       777                                                                                  
      2DJX     C   06 21 2024  00388 550      3.7712      2579                                                                                  
      2DJX     P   06 21 2024  00388 550      2.8014      2579                                                                                  
      2DJX     C   06 21 2024  00389 070      3.4759      1030                                                                                  
      2DJX     P   06 21 2024  00389 070      3.0249      1030                                                                                  
      2DJX     C   06 21 2024  00389 110      3.4537      1030                                                                                  
      2DJX     P   06 21 2024  00389 110      3.0426      1030                                                                                  
      2DJX     C   06 21 2024  00389 390      3.3005       771                                                                                  
      2DJX     P   06 21 2024  00389 390      3.1688       771                                                                                  
      2DJX     C   06 21 2024  00389 800      3.0831       386                                                                                  
      2DJX     P   06 21 2024  00389 800      3.3605       386                                                                                  
      2DJX     C   06 21 2024  00390 100      2.9278      1286                                                                                  
      2DJX     P   06 21 2024  00390 100      3.5045      1286                                                                                  
      2DJX     C   06 21 2024  00390 500      2.7237       900                                                                                  
      2DJX     P   06 21 2024  00390 500      3.6996       900                                                                                  
      2DJX     C   06 21 2024  00391 160      2.4046      2587                                                                                  
      2DJX     P   06 21 2024  00391 160      4.0390      2587                                                                                  
      2DJX     C   06 21 2024  00392 730      1.7349     12888                                                                                  
      2DJX     P   06 21 2024  00392 730      4.9358     12888                                                                                  
      2DJX     C   06 21 2024  00392 820      1.7003      8375                                                                                  
      2DJX     P   06 21 2024  00392 820      4.9911      8375                                                                                  
      2DJX     C   06 21 2024  00393 000      1.6325        79                                                                                  
      2DJX     P   06 21 2024  00393 000      5.1028        79                                                                                  
      2DJX     C   06 21 2024  00393 300      1.5231      3860                                                                                  
