   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST
      2DJX     C   06 21 2024  00381 070     11.5500         0                                                                                  
      2DJX     P   06 21 2024  00381 070      0.0001      3957                                                                                  
      2DJX     C   06 21 2024  00382 140     10.4800         0                                                                                  
      2DJX     P   06 21 2024  00382 140      0.0001      2356                                                                                  
      2DJX     C   06 21 2024  00383 800      8.8200         0                                                                                  
      2DJX     P   06 21 2024  00383 800      0.0001       560                                                                                  
      2DJX     C   06 21 2024  00384 030      8.5900         0                                                                                  
      2DJX     P   06 21 2024  00384 030      0.0001      5888                                                                                  
      2DJX     C   06 21 2024  00384 070      8.5500         0                                                                                  
      2DJX     P   06 21 2024  00384 070      0.0001      1962                                                                                  
      2DJX     C   06 21 2024  00384 380      8.2400         0                                                                                  
      2DJX     P   06 21 2024  00384 380      0.0001       654                                                                                  
      2DJX     C   06 21 2024  00385 450      7.1700         0                                                                                  
      2DJX     P   06 21 2024  00385 450      0.0001      6499                                                                                  
      2DJX     C   06 21 2024  00386 300      6.3200         0                                                                                  
      2DJX     P   06 21 2024  00386 300      0.0001      7776                                                                                  
      2DJX     C   06 21 2024  00386 640      5.9800         0                                                                                  
      2DJX     P   06 21 2024  00386 640      0.0001      1682                                                                                  
      2DJX     C   06 21 2024  00386 810      5.8100         0                                                                                  
      2DJX     P   06 21 2024  00386 810      0.0001       777                                                                                  
      2DJX     C   06 21 2024  00388 090      4.5300         0                                                                                  
      2DJX     P   06 21 2024  00388 090      0.0001      2580                                                                                  
      2DJX     C   06 21 2024  00388 550      4.0700         0                                                                                  
      2DJX     P   06 21 2024  00388 550      0.0001      2579                                                                                  
      2DJX     C   06 21 2024  00389 070      3.5500         0                                                                                  
      2DJX     P   06 21 2024  00389 070      0.0001      1030                                                                                  
      2DJX     C   06 21 2024  00389 110      3.5100         0                                                                                  
      2DJX     P   06 21 2024  00389 110      0.0001      1030                                                                                  
      2DJX     C   06 21 2024  00389 390      3.2300         0                                                                                  
      2DJX     P   06 21 2024  00389 390      0.0001       771                                                                                  
      2DJX     C   06 21 2024  00389 800      2.8200         0                                                                                  
      2DJX     P   06 21 2024  00389 800      0.0001       386                                                                                  
      2DJX     C   06 21 2024  00390 100      2.5200         0                                                                                  
      2DJX     P   06 21 2024  00390 100      0.0001      1286                                                                                  
      2DJX     C   06 21 2024  00390 310      2.3100         0                                                                                  
      2DJX     P   06 21 2024  00390 310      0.0001       513                                                                                  
      2DJX     C   06 21 2024  00390 500      2.1200         0                                                                                  
      2DJX     P   06 21 2024  00390 500      0.0001       900                                                                                  
      2DJX     C   06 21 2024  00391 000      1.6200         0                                                                                  
      2DJX     P   06 21 2024  00391 000      0.0001      3840                                                                                  
      2DJX     C   06 21 2024  00391 160      1.4600         0                                                                                  
      2DJX     P   06 21 2024  00391 160      0.0001      2587                                                                                  
      2DJX     C   06 21 2024  00392 730      0.0001     12888                                                                                  
      2DJX     P   06 21 2024  00392 730      0.1100         0                                                                                  
      2DJX     C   06 21 2024  00392 820      0.0001      8375                                                                                  
      2DJX     P   06 21 2024  00392 820      0.2000         0                                                                                  
      2DJX     C   06 21 2024  00393 000      0.0001        79                                                                                  
      2DJX     P   06 21 2024  00393 000      0.3800         0                                                                                  
      2DJX     C   06 21 2024  00393 300      0.0001      3860                                                                                  
      2DJX     P   06 21 2024  00393 300      0.6800         0                                                                                  
      2DJX     C   06 21 2024  00393 310      0.0001       643                                                                                  
      2DJX     P   06 21 2024  00393 310      0.6900         0                                                                                  
