Unnamed: 0,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE
0,2DJX,C,09 20 2024,00363 890,33.4170,4245,07 03 2024
1,2DJX,P,09 20 2024,00363 890,1.3155,4245,07 03 2024
2,2DJX,C,09 20 2024,00389 530,11.8421,6499,07 03 2024
3,2DJX,P,09 20 2024,00389 530,5.0851,6499,07 03 2024
4,2DJX,C,09 20 2024,00390 390,11.2555,7776,07 03 2024
5,2DJX,P,09 20 2024,00390 390,5.3486,7776,07 03 2024
6,2DJX,C,09 20 2024,00392 190,10.0798,2580,07 03 2024
7,2DJX,P,09 20 2024,00392 190,5.9522,2580,07 03 2024
8,2DJX,C,09 20 2024,00392 650,9.7883,2579,07 03 2024
9,2DJX,P,09 20 2024,00392 650,6.1153,2579,07 03 2024
10,2DJX,C,09 20 2024,00395 160,8.2650,3840,07 03 2024
11,2DJX,P,09 20 2024,00395 160,7.0732,3840,07 03 2024
12,2DJX,C,10 18 2024,00400 000,8.1505,1000,07 03 2024
13,2DJX,C,10 18 2024,00400 010,8.1454,1000,07 03 2024
14,2DJX,C,11 15 2024,00400 000,10.3236,1000,07 03 2024
15,2DJX,C,11 15 2024,00400 010,10.3183,2000,07 03 2024
16,2DJX,C,12 20 2024,00240 470,155.8749,1173,07 03 2024
17,2DJX,P,12 20 2024,00240 470,0.0001,1173,07 03 2024
18,2DJX,C,12 20 2024,00251 150,145.4520,940,07 03 2024
19,2DJX,P,12 20 2024,00251 150,0.0001,940,07 03 2024
20,2DJX,C,12 20 2024,00261 010,135.8293,910,07 03 2024
21,2DJX,P,12 20 2024,00261 010,0.0001,910,07 03 2024
22,2DJX,C,12 20 2024,00262 810,134.0726,360,07 03 2024
23,2DJX,P,12 20 2024,00262 810,0.0001,360,07 03 2024
24,2DJX,C,12 20 2024,00264 120,132.7942,1700,07 03 2024
25,2DJX,P,12 20 2024,00264 120,0.0001,1700,07 03 2024
26,2DJX,C,12 20 2024,00265 310,131.6328,1614,07 03 2024
27,2DJX,P,12 20 2024,00265 310,0.0001,1614,07 03 2024
28,2DJX,C,12 20 2024,00265 890,131.0668,893,07 03 2024
29,2DJX,P,12 20 2024,00265 890,0.0001,893,07 03 2024
30,2DJX,C,12 20 2024,00266 520,130.4520,579,07 03 2024
31,2DJX,P,12 20 2024,00266 520,0.0001,579,07 03 2024
32,2DJX,C,12 20 2024,00268 000,129.0076,1062,07 03 2024
33,2DJX,P,12 20 2024,00268 000,0.0001,1062,07 03 2024
34,2DJX,C,12 20 2024,00270 260,126.8020,1100,07 03 2024
35,2DJX,P,12 20 2024,00270 260,0.0001,1100,07 03 2024
36,2DJX,C,12 20 2024,00270 910,126.1677,2113,07 03 2024
37,2DJX,P,12 20 2024,00270 910,0.0001,2113,07 03 2024
38,2DJX,C,12 20 2024,00271 050,126.0311,1233,07 03 2024
39,2DJX,P,12 20 2024,00271 050,0.0001,1233,07 03 2024
40,2DJX,C,12 20 2024,00271 080,126.0028,528,07 03 2024
41,2DJX,P,12 20 2024,00271 080,0.0011,528,07 03 2024
42,2DJX,C,12 20 2024,00271 750,125.3739,1078,07 03 2024
43,2DJX,P,12 20 2024,00271 750,0.0261,1078,07 03 2024
44,2DJX,C,12 20 2024,00273 520,123.7124,715,07 03 2024
45,2DJX,P,12 20 2024,00273 520,0.0920,715,07 03 2024
46,2DJX,C,12 20 2024,00276 520,120.8963,1721,07 03 2024
47,2DJX,P,12 20 2024,00276 520,0.2037,1721,07 03 2024
48,2DJX,C,12 20 2024,00280 540,117.1228,1738,07 03 2024
49,2DJX,P,12 20 2024,00280 540,0.3533,1738,07 03 2024
50,2DJX,C,12 20 2024,00287 310,110.7678,1334,07 03 2024
51,2DJX,P,12 20 2024,00287 310,0.6054,1334,07 03 2024
52,2DJX,C,12 20 2024,00288 670,109.4911,678,07 03 2024
53,2DJX,P,12 20 2024,00288 670,0.6560,678,07 03 2024
54,2DJX,C,12 20 2024,00291 000,107.3040,1322,07 03 2024
55,2DJX,P,12 20 2024,00291 000,0.7427,1322,07 03 2024
56,2DJX,P,12 20 2024,00301 000,1.1150,950,07 03 2024
57,2DJX,C,12 20 2024,00309 840,89.6189,3408,07 03 2024
58,2DJX,P,12 20 2024,00309 840,1.4441,3408,07 03 2024
59,2DJX,C,12 20 2024,00326 810,73.6892,3080,07 03 2024
60,2DJX,P,12 20 2024,00326 810,2.0759,3080,07 03 2024
61,2DJX,P,12 20 2024,00330 010,2.1951,900,07 03 2024
62,2DJX,C,12 20 2024,00330 670,70.0658,885,07 03 2024
63,2DJX,P,12 20 2024,00330 670,2.2196,885,07 03 2024
64,2DJX,C,12 20 2024,00333 870,67.0620,729,07 03 2024
65,2DJX,P,12 20 2024,00333 870,2.3388,729,07 03 2024
66,2DJX,C,12 20 2024,00336 280,64.7998,868,07 03 2024
67,2DJX,P,12 20 2024,00336 280,2.4285,868,07 03 2024
68,2DJX,C,12 20 2024,00336 400,64.6871,2032,07 03 2024
69,2DJX,P,12 20 2024,00336 400,2.4330,2032,07 03 2024
70,2DJX,C,12 20 2024,00338 520,62.6971,1010,07 03 2024
71,2DJX,P,12 20 2024,00338 520,2.5119,1010,07 03 2024
72,2DJX,C,12 20 2024,00338 660,62.5657,575,07 03 2024
73,2DJX,P,12 20 2024,00338 660,2.5171,575,07 03 2024
74,2DJX,C,12 20 2024,00341 460,59.9373,2306,07 03 2024
75,2DJX,P,12 20 2024,00341 460,2.6214,2306,07 03 2024
76,2DJX,C,12 20 2024,00344 660,56.9335,733,07 03 2024
77,2DJX,P,12 20 2024,00344 660,2.7405,733,07 03 2024
78,2DJX,C,12 20 2024,00345 610,56.0417,1064,07 03 2024
79,2DJX,P,12 20 2024,00345 610,2.7759,1064,07 03 2024
80,2DJX,C,12 20 2024,00346 520,55.1875,1499,07 03 2024
81,2DJX,P,12 20 2024,00346 520,2.8098,1499,07 03 2024
82,2DJX,C,12 20 2024,00347 160,54.5868,1512,07 03 2024
83,2DJX,P,12 20 2024,00347 160,2.8336,1512,07 03 2024
84,2DJX,C,12 20 2024,00347 610,54.1644,1537,07 03 2024
85,2DJX,P,12 20 2024,00347 610,2.8503,1537,07 03 2024
86,2DJX,C,12 20 2024,00347 700,54.0799,615,07 03 2024
87,2DJX,P,12 20 2024,00347 700,2.8537,615,07 03 2024
88,2DJX,C,12 20 2024,00348 050,53.7513,306,07 03 2024
89,2DJX,P,12 20 2024,00348 050,2.8667,306,07 03 2024
90,2DJX,C,12 20 2024,00349 410,52.4748,763,07 03 2024
91,2DJX,P,12 20 2024,00349 410,2.9174,763,07 03 2024
92,2DJX,C,12 20 2024,00349 790,52.1181,2131,07 03 2024
93,2DJX,P,12 20 2024,00349 790,2.9316,2131,07 03 2024
94,2DJX,C,12 20 2024,00350 010,51.9116,1450,07 03 2024
95,2DJX,C,12 20 2024,00350 550,51.4047,1405,07 03 2024
96,2DJX,P,12 20 2024,00350 550,2.9599,1405,07 03 2024
97,2DJX,C,12 20 2024,00351 740,50.2877,4451,07 03 2024
98,2DJX,P,12 20 2024,00351 740,3.0043,4451,07 03 2024
99,2DJX,C,12 20 2024,00351 800,50.2314,7419,07 03 2024
100,2DJX,P,12 20 2024,00351 800,3.0065,7419,07 03 2024
101,2DJX,C,12 20 2024,00351 900,50.1375,1491,07 03 2024
102,2DJX,P,12 20 2024,00351 900,3.0102,1491,07 03 2024
103,2DJX,C,12 20 2024,00353 040,49.0676,5912,07 03 2024
104,2DJX,P,12 20 2024,00353 040,3.0529,5912,07 03 2024
105,2DJX,C,12 20 2024,00353 210,48.9081,5911,07 03 2024
106,2DJX,P,12 20 2024,00353 210,3.0592,5911,07 03 2024
107,2DJX,C,12 20 2024,00355 460,46.7964,2922,07 03 2024
108,2DJX,P,12 20 2024,00355 460,3.1434,2922,07 03 2024
