,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST
0,2DJX,C,09 20 2024,00363 890,33.7968,4245
1,2DJX,P,09 20 2024,00363 890,1.3127,4245
2,2DJX,C,09 20 2024,00389 530,12.2861,6499
3,2DJX,P,09 20 2024,00389 530,5.1425,6499
4,2DJX,C,09 20 2024,00390 390,11.7099,7776
5,2DJX,P,09 20 2024,00390 390,5.4163,7776
6,2DJX,C,09 20 2024,00392 190,10.5041,2580
7,2DJX,P,09 20 2024,00392 190,5.9894,2580
8,2DJX,C,09 20 2024,00392 650,10.2036,2579
9,2DJX,P,09 20 2024,00392 650,6.1436,2579
10,2DJX,C,09 20 2024,00395 160,8.6293,3840
11,2DJX,P,09 20 2024,00395 160,7.0499,3840
12,2DJX,C,10 18 2024,00400 000,8.4073,1000
13,2DJX,C,10 18 2024,00400 010,8.4021,1000
14,2DJX,C,11 15 2024,00400 000,10.5720,1000
15,2DJX,C,11 15 2024,00400 010,10.5667,2000
16,2DJX,C,12 20 2024,00240 470,156.7044,1173
17,2DJX,P,12 20 2024,00240 470,0.3366,1173
18,2DJX,C,12 20 2024,00251 150,146.3269,940
19,2DJX,P,12 20 2024,00251 150,0.3798,940
20,2DJX,C,12 20 2024,00261 010,136.7510,910
21,2DJX,P,12 20 2024,00261 010,0.4245,910
22,2DJX,C,12 20 2024,00262 810,135.0029,360
23,2DJX,P,12 20 2024,00262 810,0.4327,360
24,2DJX,C,12 20 2024,00264 120,133.7306,1700
25,2DJX,P,12 20 2024,00264 120,0.4386,1700
26,2DJX,C,12 20 2024,00265 310,132.5748,1614
27,2DJX,P,12 20 2024,00265 310,0.4440,1614
28,2DJX,C,12 20 2024,00265 890,132.0116,893
29,2DJX,P,12 20 2024,00265 890,0.4467,893
30,2DJX,C,12 20 2024,00266 520,131.3998,579
31,2DJX,P,12 20 2024,00266 520,0.4495,579
32,2DJX,C,12 20 2024,00268 000,129.9624,1062
33,2DJX,P,12 20 2024,00268 000,0.4563,1062
34,2DJX,C,12 20 2024,00270 260,127.7674,1100
35,2DJX,P,12 20 2024,00270 260,0.4664,1100
36,2DJX,C,12 20 2024,00270 910,127.1362,2113
37,2DJX,P,12 20 2024,00270 910,0.4694,2113
38,2DJX,C,12 20 2024,00271 050,127.0003,1233
39,2DJX,P,12 20 2024,00271 050,0.4701,1233
40,2DJX,C,12 20 2024,00271 080,126.9711,528
41,2DJX,P,12 20 2024,00271 080,0.4702,528
42,2DJX,C,12 20 2024,00271 750,126.3205,1078
43,2DJX,P,12 20 2024,00271 750,0.4733,1078
44,2DJX,C,12 20 2024,00273 520,124.6015,715
45,2DJX,P,12 20 2024,00273 520,0.4813,715
46,2DJX,C,12 20 2024,00276 520,121.6892,1721
47,2DJX,P,12 20 2024,00276 520,0.4962,1721
48,2DJX,C,12 20 2024,00280 540,117.7918,1738
49,2DJX,P,12 20 2024,00280 540,0.5212,1738
50,2DJX,C,12 20 2024,00287 310,111.2714,1334
51,2DJX,P,12 20 2024,00287 310,0.6065,1334
52,2DJX,C,12 20 2024,00288 670,109.9636,678
53,2DJX,P,12 20 2024,00288 670,0.6257,678
54,2DJX,C,12 20 2024,00291 000,107.7240,1322
55,2DJX,P,12 20 2024,00291 000,0.6595,1322
56,2DJX,P,12 20 2024,00301 000,0.8224,950
57,2DJX,C,12 20 2024,00309 840,89.6639,3408
58,2DJX,P,12 20 2024,00309 840,0.9820,3408
59,2DJX,C,12 20 2024,00326 810,73.5183,3080
60,2DJX,P,12 20 2024,00326 810,1.3944,3080
61,2DJX,P,12 20 2024,00330 010,1.4954,900
62,2DJX,C,12 20 2024,00330 670,69.8762,885
63,2DJX,P,12 20 2024,00330 670,1.5187,885
64,2DJX,C,12 20 2024,00333 870,66.8717,729
65,2DJX,P,12 20 2024,00333 870,1.6365,729
66,2DJX,C,12 20 2024,00336 280,64.6177,868
67,2DJX,P,12 20 2024,00336 280,1.7339,868
68,2DJX,C,12 20 2024,00336 400,64.5058,2032
69,2DJX,P,12 20 2024,00336 400,1.7391,2032
70,2DJX,C,12 20 2024,00338 520,62.5304,1010
71,2DJX,P,12 20 2024,00338 520,1.8322,1010
72,2DJX,C,12 20 2024,00338 660,62.4001,575
73,2DJX,P,12 20 2024,00338 660,1.8385,575
74,2DJX,C,12 20 2024,00341 460,59.8049,2306
75,2DJX,P,12 20 2024,00341 460,1.9753,2306
76,2DJX,C,12 20 2024,00344 660,56.8577,733
77,2DJX,P,12 20 2024,00344 660,2.1505,733
78,2DJX,C,12 20 2024,00345 610,55.9871,1064
79,2DJX,P,12 20 2024,00345 610,2.2068,1064
80,2DJX,C,12 20 2024,00346 520,55.1552,1499
81,2DJX,P,12 20 2024,00346 520,2.2628,1499
82,2DJX,C,12 20 2024,00347 160,54.5710,1512
83,2DJX,P,12 20 2024,00347 160,2.3031,1512
84,2DJX,C,12 20 2024,00347 610,54.1606,1537
85,2DJX,P,12 20 2024,00347 610,2.3318,1537
86,2DJX,C,12 20 2024,00347 700,54.0785,615
87,2DJX,P,12 20 2024,00347 700,2.3375,615
88,2DJX,C,12 20 2024,00348 050,53.7596,306
89,2DJX,P,12 20 2024,00348 050,2.3601,306
90,2DJX,C,12 20 2024,00349 410,52.5225,763
91,2DJX,P,12 20 2024,00349 410,2.4500,763
92,2DJX,C,12 20 2024,00349 790,52.1774,2131
93,2DJX,P,12 20 2024,00349 790,2.4757,2131
94,2DJX,C,12 20 2024,00350 010,51.9778,1450
95,2DJX,C,12 20 2024,00350 550,51.4890,1405
96,2DJX,P,12 20 2024,00350 550,2.5288,1405
97,2DJX,C,12 20 2024,00351 740,50.4138,4451
98,2DJX,P,12 20 2024,00351 740,2.6148,4451
99,2DJX,C,12 20 2024,00351 800,50.3597,7419
100,2DJX,P,12 20 2024,00351 800,2.6192,7419
101,2DJX,C,12 20 2024,00351 900,50.2695,1491
102,2DJX,P,12 20 2024,00351 900,2.6265,1491
103,2DJX,C,12 20 2024,00353 040,49.2425,5912
104,2DJX,P,12 20 2024,00353 040,2.7119,5912
105,2DJX,C,12 20 2024,00353 210,49.0896,5911
106,2DJX,P,12 20 2024,00353 210,2.7249,5911
107,2DJX,C,12 20 2024,00355 460,47.0758,2922
108,2DJX,P,12 20 2024,00355 460,2.9064,2922
109,2DJX,C,12 20 2024,00355 580,46.9696,1474
110,2DJX,P,12 20 2024,00355 580,2.9173,1474
111,2DJX,C,12 20 2024,00356 360,46.2804,1180
112,2DJX,P,12 20 2024,00356 360,2.9891,1180
113,2DJX,C,12 20 2024,00359 140,43.8378,2930
114,2DJX,P,12 20 2024,00359 140,3.2590,2930
115,2DJX,C,12 20 2024,00359 160,43.8203,1830
116,2DJX,P,12 20 2024,00359 160,3.2611,1830
117,2DJX,C,12 20 2024,00369 260,35.1881,855
