   SYMBOL   P/C   EXPIRATION   STRIKE-PRICE   MARK-PRICE   OPEN-INTEREST   
      2DJX     C   09 20 2024  00363 890     34.0508      4245                                                                                  
      2DJX     P   09 20 2024  00363 890      1.3152      4245                                                                                  
      2DJX     C   09 20 2024  00389 530     12.3213      6499                                                                                  
      2DJX     P   09 20 2024  00389 530      4.9377      6499                                                                                  
      2DJX     C   09 20 2024  00390 390     11.7262      7776                                                                                  
      2DJX     P   09 20 2024  00390 390      5.1930      7776                                                                                  
      2DJX     C   09 20 2024  00392 190     10.5226      2580                                                                                  
      2DJX     P   09 20 2024  00392 190      5.7691      2580                                                                                  
      2DJX     C   09 20 2024  00392 650     10.2236      2579                                                                                  
      2DJX     P   09 20 2024  00392 650      5.9250      2579                                                                                  
      2DJX     C   09 20 2024  00395 160      8.6572      3840                                                                                  
      2DJX     P   09 20 2024  00395 160      6.8404      3840                                                                                  
      2DJX     C   10 18 2024  00400 000      8.5287      1000                                                                                  
      2DJX     C   10 18 2024  00400 010      8.5237      1000                                                                                  
      2DJX     C   11 15 2024  00400 000     10.7061      1000                                                                                  
      2DJX     C   11 15 2024  00400 010     10.7011      2000                                                                                  
      2DJX     C   12 20 2024  00240 470    157.1437      1173                                                                                  
      2DJX     P   12 20 2024  00240 470      0.4030      1173                                                                                  
      2DJX     C   12 20 2024  00251 150    146.7599       940                                                                                  
      2DJX     P   12 20 2024  00251 150      0.4457       940                                                                                  
      2DJX     C   12 20 2024  00261 010    137.1733       910                                                                                  
      2DJX     P   12 20 2024  00261 010      0.4851       910                                                                                  
      2DJX     C   12 20 2024  00262 810    135.4233       360                                                                                  
      2DJX     P   12 20 2024  00262 810      0.4924       360                                                                                  
      2DJX     C   12 20 2024  00264 120    134.1496      1700                                                                                  
      2DJX     P   12 20 2024  00264 120      0.4976      1700                                                                                  
      2DJX     C   12 20 2024  00265 310    132.9926      1614                                                                                  
      2DJX     P   12 20 2024  00265 310      0.5024      1614                                                                                  
      2DJX     C   12 20 2024  00265 890    132.4287       893                                                                                  
      2DJX     P   12 20 2024  00265 890      0.5047       893                                                                                  
      2DJX     C   12 20 2024  00266 520    131.8162       579                                                                                  
      2DJX     P   12 20 2024  00266 520      0.5072       579                                                                                  
      2DJX     C   12 20 2024  00268 000    130.3773      1062                                                                                  
      2DJX     P   12 20 2024  00268 000      0.5132      1062                                                                                  
      2DJX     C   12 20 2024  00270 260    128.1800      1100                                                                                  
      2DJX     P   12 20 2024  00270 260      0.5223      1100                                                                                  
      2DJX     C   12 20 2024  00270 910    127.5480      2113                                                                                  
      2DJX     P   12 20 2024  00270 910      0.5249      2113                                                                                  
      2DJX     C   12 20 2024  00271 050    127.4119      1233                                                                                  
      2DJX     P   12 20 2024  00271 050      0.5254      1233                                                                                  
      2DJX     C   12 20 2024  00271 080    127.3827       528                                                                                  
      2DJX     P   12 20 2024  00271 080      0.5256       528                                                                                  
      2DJX     C   12 20 2024  00271 750    126.7313      1078                                                                                  
      2DJX     P   12 20 2024  00271 750      0.5283      1078                                                                                  
      2DJX     C   12 20 2024  00273 520    125.0105       715                                                                                  
      2DJX     P   12 20 2024  00273 520      0.5354       715                                                                                  
      2DJX     C   12 20 2024  00276 520    122.0938      1721                                                                                  
      2DJX     P   12 20 2024  00276 520      0.5475      1721                                                                                  
      2DJX     C   12 20 2024  00280 540    118.1854      1738                                                                                  
      2DJX     P   12 20 2024  00280 540      0.5638      1738                                                                                  
      2DJX     C   12 20 2024  00287 310    111.6223      1334                                                                                  
      2DJX     P   12 20 2024  00287 310      0.6100      1334                                                                                  
      2DJX     C   12 20 2024  00288 670    110.3121       678                                                                                  
      2DJX     P   12 20 2024  00288 670      0.6275       678                                                                                  
      2DJX     C   12 20 2024  00291 000    108.0702      1322                                                                                  
      2DJX     P   12 20 2024  00291 000      0.6604      1322                                                                                  
      2DJX     P   12 20 2024  00301 000      0.8283       950                                                                                  
      2DJX     C   12 20 2024  00309 840     90.0283      3408                                                                                  
      2DJX     P   12 20 2024  00309 840      1.0113      3408                                                                                  
      2DJX     C   12 20 2024  00326 810     73.9159      3080                                                                                  
      2DJX     P   12 20 2024  00326 810      1.4662      3080                                                                                  
      2DJX     P   12 20 2024  00330 010      1.5704       900                                                                                  
      2DJX     C   12 20 2024  00330 670     70.2768       885                                                                                  
      2DJX     P   12 20 2024  00330 670      1.5955       885                                                                                  
