,Unnamed: 0.1,Unnamed: 0,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION,IV
0,0,0,2024-04-08,2DJX,C,2024-06-21,391.16,8.6594,2587,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,0.0
1,1,1,2024-04-08,2DJX,P,2024-06-21,391.16,6.598,2587,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,3.884981599095396
2,2,2,2024-04-08,2DJX,C,2024-06-21,392.73,7.9718,12888,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,0.0
3,3,3,2024-04-08,2DJX,P,2024-06-21,392.73,7.4634,12888,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,3.9357758835374677
4,4,4,2024-04-08,2DJX,C,2024-06-21,392.82,7.9339,8375,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,0.0
5,5,5,2024-04-08,2DJX,P,2024-06-21,392.82,7.5145,8375,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,3.938637743452212
6,6,6,2024-04-08,2DJX,C,2024-06-21,393.0,7.8585,79,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,0.0
7,7,7,2024-04-08,2DJX,P,2024-06-21,393.0,7.6172,79,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,3.944346959501042
8,8,8,2024-04-08,2DJX,C,2024-06-21,393.3,7.7343,3860,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,0.0
9,9,9,2024-04-08,2DJX,P,2024-06-21,393.3,7.7898,3860,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,3.9538171390227754
10,10,10,2024-04-08,2DJX,C,2024-06-21,393.31,7.7302,643,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,0.0
11,11,11,2024-04-08,2DJX,P,2024-06-21,393.31,7.7956,643,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,3.954132785596173
12,12,12,2024-04-08,2DJX,C,2024-06-21,395.13,7.0046,512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,0.0
13,13,13,2024-04-08,2DJX,P,2024-06-21,395.13,8.8703,512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,74,4.009902627860699
14,14,14,2024-04-08,2DJX,P,2024-08-16,360.0,3.057,400,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,130,2.7615641689308137
15,15,15,2024-04-08,2DJX,C,2024-09-20,363.89,35.5991,4245,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,165,0.0
16,16,16,2024-04-08,2DJX,P,2024-09-20,363.89,4.3198,4245,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,165,2.5320409009412486
17,17,17,2024-04-08,2DJX,C,2024-10-18,400.01,12.7671,1000,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,193,0.0
18,18,18,2024-04-08,2DJX,C,2024-11-15,400.01,14.6793,2000,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,221,0.0
19,19,19,2024-04-08,2DJX,C,2024-12-20,240.47,156.1112,1173,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
20,20,20,2024-04-08,2DJX,P,2024-12-20,240.47,1.0542,1173,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9677787711344297
21,21,21,2024-04-08,2DJX,C,2024-12-20,251.15,145.9119,940,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
22,22,22,2024-04-08,2DJX,P,2024-12-20,251.15,1.1558,940,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.963479395878158
23,23,23,2024-04-08,2DJX,C,2024-12-20,261.01,136.4956,910,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
24,24,24,2024-04-08,2DJX,P,2024-12-20,261.01,1.2497,910,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9590855783917098
25,25,25,2024-04-08,2DJX,C,2024-12-20,262.81,134.7767,360,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
26,26,26,2024-04-08,2DJX,P,2024-12-20,262.81,1.2668,360,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9582408437049548
27,27,27,2024-04-08,2DJX,C,2024-12-20,264.12,133.5256,1700,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
28,28,28,2024-04-08,2DJX,P,2024-12-20,264.12,1.2793,1700,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9576272358565603
29,29,29,2024-04-08,2DJX,C,2024-12-20,265.31,132.3892,1614,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
30,30,30,2024-04-08,2DJX,P,2024-12-20,265.31,1.2906,1614,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9570580004441316
31,31,31,2024-04-08,2DJX,C,2024-12-20,265.89,131.8353,893,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
32,32,32,2024-04-08,2DJX,P,2024-12-20,265.89,1.2962,893,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9567914032356397
33,33,33,2024-04-08,2DJX,C,2024-12-20,266.52,131.2337,579,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
34,34,34,2024-04-08,2DJX,P,2024-12-20,266.52,1.3022,579,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9564896816447517
35,35,35,2024-04-08,2DJX,C,2024-12-20,268.0,129.8204,1062,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
36,36,36,2024-04-08,2DJX,P,2024-12-20,268.0,1.3163,1062,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9557771878265058
37,37,37,2024-04-08,2DJX,C,2024-12-20,270.26,127.6622,1100,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
38,38,38,2024-04-08,2DJX,P,2024-12-20,270.26,1.3379,1100,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9546868793811316
39,39,39,2024-04-08,2DJX,C,2024-12-20,270.91,127.0414,2113,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
40,40,40,2024-04-08,2DJX,P,2024-12-20,270.91,1.3441,2113,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9543692424993504
41,41,41,2024-04-08,2DJX,C,2024-12-20,271.05,126.9077,1233,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
42,42,42,2024-04-08,2DJX,P,2024-12-20,271.05,1.3454,1233,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9542961386214746
43,43,43,2024-04-08,2DJX,C,2024-12-20,271.08,126.8791,528,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
44,44,44,2024-04-08,2DJX,P,2024-12-20,271.08,1.3457,528,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9542832243987949
45,45,45,2024-04-08,2DJX,C,2024-12-20,271.75,126.2393,1078,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
46,46,46,2024-04-08,2DJX,P,2024-12-20,271.75,1.3522,1078,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9539684382537013
47,47,47,2024-04-08,2DJX,C,2024-12-20,273.52,124.5491,715,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
48,48,48,2024-04-08,2DJX,P,2024-12-20,273.52,1.3692,715,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9531093561370672
49,49,49,2024-04-08,2DJX,C,2024-12-20,276.52,121.6871,1721,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
50,50,50,2024-04-08,2DJX,P,2024-12-20,276.52,1.4007,1721,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9519695989502626
51,51,51,2024-04-08,2DJX,C,2024-12-20,280.54,117.8697,1738,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
52,52,52,2024-04-08,2DJX,P,2024-12-20,280.54,1.4606,1738,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9525163627425655
53,53,53,2024-04-08,2DJX,C,2024-12-20,287.31,111.6014,1334,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
54,54,54,2024-04-08,2DJX,P,2024-12-20,287.31,1.722,1334,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9704892580927866
55,55,55,2024-04-08,2DJX,C,2024-12-20,288.67,110.3425,678,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
56,56,56,2024-04-08,2DJX,P,2024-12-20,288.67,1.7748,678,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9737049877728563
57,57,57,2024-04-08,2DJX,C,2024-12-20,291.0,108.1856,1322,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
58,58,58,2024-04-08,2DJX,P,2024-12-20,291.0,1.8653,1322,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.9789313409481883
59,59,59,2024-04-08,2DJX,P,2024-12-20,301.0,2.2536,950,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,1.997881713545192
60,60,60,2024-04-08,2DJX,C,2024-12-20,309.84,90.746,3408,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
61,61,61,2024-04-08,2DJX,P,2024-12-20,309.84,2.597,3408,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0109711221563735
62,62,62,2024-04-08,2DJX,C,2024-12-20,326.81,75.1437,3080,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
63,63,63,2024-04-08,2DJX,P,2024-12-20,326.81,3.3625,3080,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0359550200068486
64,64,64,2024-04-08,2DJX,P,2024-12-20,330.01,3.5507,900,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0422459363093153
65,65,65,2024-04-08,2DJX,C,2024-12-20,330.67,71.6553,885,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
66,66,66,2024-04-08,2DJX,P,2024-12-20,330.67,3.5971,885,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.043928580987221
67,67,67,2024-04-08,2DJX,C,2024-12-20,333.87,68.8017,729,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
68,68,68,2024-04-08,2DJX,P,2024-12-20,333.87,3.8299,729,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0521561961634993
69,69,69,2024-04-08,2DJX,C,2024-12-20,336.28,66.6635,868,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
70,70,70,2024-04-08,2DJX,P,2024-12-20,336.28,4.0162,868,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0585423661845463
71,71,71,2024-04-08,2DJX,C,2024-12-20,336.4,66.5574,2032,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
72,72,72,2024-04-08,2DJX,P,2024-12-20,336.4,4.0258,2032,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.058868209497898
73,73,73,2024-04-08,2DJX,C,2024-12-20,338.52,64.6854,1010,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
74,74,74,2024-04-08,2DJX,P,2024-12-20,338.52,4.1987,1010,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0646460591594553
75,75,75,2024-04-08,2DJX,C,2024-12-20,338.66,64.5618,575,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
76,76,76,2024-04-08,2DJX,P,2024-12-20,338.66,4.2101,575,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.065016646673503
77,77,77,2024-04-08,2DJX,C,2024-12-20,341.46,62.0895,2306,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
78,78,78,2024-04-08,2DJX,P,2024-12-20,341.46,4.4384,2306,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0721977980433435
79,79,79,2024-04-08,2DJX,C,2024-12-20,344.66,59.2667,733,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
80,80,80,2024-04-08,2DJX,P,2024-12-20,344.66,4.702,733,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0799964654888674
81,81,81,2024-04-08,2DJX,C,2024-12-20,345.61,58.4343,1824,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
