,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION,IV
0,2024-04-08,2NDX,P,2024-04-19,14000.01,1.5641,20,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,11,0.3384479267810261
1,2024-04-08,2NDX,P,2024-04-19,15000.01,3.0823,15,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,11,0.2132106855884553
2,2024-04-08,2NDX,C,2024-04-19,15500.01,2638.972,10,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,11,2.0499675254011245
3,2024-04-08,2NDX,P,2024-04-19,16000.01,5.65,8,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,11,0.0623096705438928
4,2024-04-08,2NDX,P,2024-05-17,16000.01,34.9387,22,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,39,0.0580859411452012
5,2024-04-08,2NDX,P,2024-06-21,9500.01,1.9,30,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4280461714791964
6,2024-04-08,2NDX,P,2024-06-21,9700.01,2.2,15,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.4185945263703299
7,2024-04-08,2NDX,P,2024-06-21,11500.01,6.3667,15,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.3271188214523772
8,2024-04-08,2NDX,C,2024-06-21,12000.01,6233.75,35,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,1.5083883804202904
9,2024-04-08,2NDX,C,2024-06-21,13009.53,5240.537,20,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,1.307248458759626
10,2024-04-08,2NDX,P,2024-06-21,13009.53,13.6655,20,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.2470684377985618
11,2024-04-08,2NDX,P,2024-06-21,13100.01,14.3,30,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.2421796462356275
12,2024-04-08,2NDX,C,2024-06-21,13695.57,4567.738,119,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,1.1775736203927338
13,2024-04-08,2NDX,P,2024-06-21,13695.57,19.5048,119,16285.179688,16323.599609,16220.719727,16253.959961,16253.959961,4386700000,74,0.209893931898973
