SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ-CLOSE,VOLUME
4NDX,C,2023-12-01,2023-12-05,4,14914.12,1089.541,960,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
4NDX,C,2023-12-01,2023-12-05,4,17796.08,0.0001,960,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,6362.0,0.0001,62,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,10455.8,0.0029,50,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,10500.01,0.0036,60,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11168.63,4842.366,70,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11168.63,0.0534,70,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11219.0,4792.11,463,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11219.0,0.0642,463,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11373.27,4638.206,46,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11373.27,0.1108,46,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11453.52,4558.156,113,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11453.52,0.1459,113,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11500.01,0.1705,50,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11515.03,4496.807,45,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11515.03,0.1793,45,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11515.27,4496.567,46,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11515.27,0.1794,46,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11599.84,4412.229,45,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11599.84,0.2368,45,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11668.97,4343.301,312,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11668.97,0.2957,312,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11669.15,4343.122,89,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11669.15,0.2958,89,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11755.11,4257.424,287,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11755.11,0.3811,287,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11811.45,4201.257,88,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11811.45,0.4373,88,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,11812.59,4200.12,176,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,11812.59,0.4385,176,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12000.01,4013.274,12,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12127.68,3885.996,43,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12127.68,0.7531,43,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12211.44,3802.492,176,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12211.44,0.8368,176,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12221.77,3792.194,101,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12221.77,0.8471,101,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12244.37,3769.663,50,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12244.37,0.8696,50,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12244.88,3769.155,21,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12244.88,0.8701,21,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12249.1,3764.948,25,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12249.1,0.8744,25,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12280.58,3733.564,84,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12280.58,0.9058,84,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12334.45,3679.859,32,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12334.45,0.9596,32,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12408.37,3606.165,292,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12408.37,1.0335,292,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12483.2,3531.565,374,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12483.2,1.1082,374,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12483.31,3531.455,83,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12483.31,1.1083,83,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12500.01,1.125,40,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12517.5,3497.37,124,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12517.5,1.1425,124,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12518.37,3496.502,83,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12518.37,1.1434,83,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12524.59,3490.302,249,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12524.59,1.1496,249,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12524.85,3490.042,41,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12524.85,1.1498,41,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12536.97,3477.959,20,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12536.97,1.162,20,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12537.12,3477.81,24,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,P,2023-12-01,2023-12-15,14,12537.12,1.1621,24,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
2NDX,C,2023-12-01,2023-12-15,14,12551.41,3463.564,165,14181.349609,14311.950195,14135.0,14305.030273,14305.030273,5607000000
