SYMBOL,P/C,DATE,EXPIRATION,TIME-TO-EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ-CLOSE,VOLUME
2DJX,C,2024-06-03,2024-06-21,18,381.07,7.3396,3957,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,P,2024-06-03,2024-06-21,18,381.07,1.7616,3957,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,C,2024-06-03,2024-06-21,18,382.14,6.5469,2356,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,P,2024-06-03,2024-06-21,18,382.14,2.0361,2356,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,C,2024-06-03,2024-06-21,18,383.8,5.3894,560,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,P,2024-06-03,2024-06-21,18,383.8,2.5342,560,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,C,2024-06-03,2024-06-21,18,384.03,5.2365,5888,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,P,2024-06-03,2024-06-21,18,384.03,2.6107,5888,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,C,2024-06-03,2024-06-21,18,384.07,5.2102,1962,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,P,2024-06-03,2024-06-21,18,384.07,2.6242,1962,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,C,2024-06-03,2024-06-21,18,384.38,5.0076,654,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,P,2024-06-03,2024-06-21,18,384.38,2.7309,654,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,C,2024-06-03,2024-06-21,18,386.64,3.6734,1682,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
2DJX,P,2024-06-03,2024-06-21,18,386.64,3.6507,1682,38709.988281,38735.609375,38247.21875,38571.03125,38571.03125,314010000
